# D = 1
# x/p  delta  log(2+delta)  velocity
0  -0.01  0.298853  -1.39477e-17
0.00195312  -0.00999925  0.298853  1.95303e-05
0.00390625  -0.00999699  0.298854  3.90576e-05
0.00585938  -0.00999322  0.298855  5.85791e-05
0.0078125  -0.00998795  0.298856  7.80917e-05
0.00976562  -0.00998118  0.298857  9.75926e-05
0.0117188  -0.0099729  0.298859  0.000117079
0.0136719  -0.00996313  0.298861  0.000136547
0.015625  -0.00995185  0.298864  0.000155995
0.0175781  -0.00993907  0.298866  0.00017542
0.0195312  -0.0099248  0.298869  0.000194818
0.0214844  -0.00990903  0.298873  0.000214187
0.0234375  -0.00989177  0.298877  0.000233523
0.0253906  -0.00987301  0.298881  0.000252824
0.0273438  -0.00985278  0.298885  0.000272088
0.0292969  -0.00983105  0.29889  0.00029131
0.03125  -0.00980785  0.298895  0.000310488
0.0332031  -0.00978317  0.2989  0.00032962
0.0351562  -0.00975702  0.298906  0.000348702
0.0371094  -0.0097294  0.298912  0.000367731
0.0390625  -0.00970031  0.298918  0.000386706
0.0410156  -0.00966976  0.298925  0.000405621
0.0429688  -0.00963776  0.298932  0.000424476
0.0449219  -0.00960431  0.298939  0.000443267
0.046875  -0.0095694  0.298947  0.000461991
0.0488281  -0.00953306  0.298955  0.000480646
0.0507812  -0.00949528  0.298963  0.000499228
0.0527344  -0.00945607  0.298972  0.000517735
0.0546875  -0.00941544  0.298981  0.000536164
0.0566406  -0.00937339  0.29899  0.000554512
0.0585938  -0.00932993  0.298999  0.000572777
0.0605469  -0.00928506  0.299009  0.000590955
0.0625  -0.0092388  0.299019  0.000609045
0.0644531  -0.00919114  0.29903  0.000627043
0.0664062  -0.0091421  0.29904  0.000644946
0.0683594  -0.00909168  0.299051  0.000662752
0.0703125  -0.00903989  0.299063  0.000680458
0.0722656  -0.00898674  0.299074  0.000698062
0.0742188  -0.00893224  0.299086  0.000715561
0.0761719  -0.0088764  0.299098  0.000732952
0.078125  -0.00881921  0.299111  0.000750233
0.0800781  -0.0087607  0.299123  0.000767401
0.0820312  -0.00870087  0.299137  0.000784453
0.0839844  -0.00863973  0.29915  0.000801387
0.0859375  -0.00857729  0.299163  0.0008182
0.0878906  -0.00851355  0.299177  0.00083489
0.0898438  -0.00844854  0.299192  0.000851454
0.0917969  -0.00838225  0.299206  0.00086789
0.09375  -0.0083147  0.299221  0.000884196
0.0957031  -0.00824589  0.299236  0.000900368
0.0976562  -0.00817585  0.299251  0.000916405
0.0996094  -0.00810457  0.299267  0.000932303
0.101562  -0.00803208  0.299282  0.000948062
0.103516  -0.00795837  0.299298  0.000963677
0.105469  -0.00788346  0.299315  0.000979147
0.107422  -0.00780737  0.299331  0.00099447
0.109375  -0.0077301  0.299348  0.00100964
0.111328  -0.00765167  0.299365  0.00102466
0.113281  -0.00757209  0.299383  0.00103953
0.115234  -0.00749136  0.2994  0.00105424
0.117188  -0.00740951  0.299418  0.00106879
0.119141  -0.00732654  0.299436  0.00108318
0.121094  -0.00724247  0.299454  0.00109741
0.123047  -0.00715731  0.299473  0.00111147
0.125  -0.00707107  0.299492  0.00112537
0.126953  -0.00698376  0.299511  0.00113909
0.128906  -0.00689541  0.29953  0.00115265
0.130859  -0.00680601  0.29955  0.00116603
0.132812  -0.00671559  0.299569  0.00117923
0.134766  -0.00662416  0.299589  0.00119226
0.136719  -0.00653173  0.299609  0.00120511
0.138672  -0.00643832  0.29963  0.00121777
0.140625  -0.00634393  0.29965  0.00123025
0.142578  -0.00624859  0.299671  0.00124255
0.144531  -0.00615232  0.299692  0.00125466
0.146484  -0.00605511  0.299713  0.00126658
0.148438  -0.00595699  0.299735  0.00127831
0.150391  -0.00585798  0.299756  0.00128985
0.152344  -0.00575808  0.299778  0.00130119
0.154297  -0.00565732  0.2998  0.00131234
0.15625  -0.0055557  0.299822  0.00132329
0.158203  -0.00545325  0.299844  0.00133404
0.160156  -0.00534998  0.299867  0.00134459
0.162109  -0.0052459  0.299889  0.00135494
0.164062  -0.00514103  0.299912  0.00136508
0.166016  -0.00503538  0.299935  0.00137502
0.167969  -0.00492898  0.299958  0.00138475
0.169922  -0.00482184  0.299982  0.00139427
0.171875  -0.00471397  0.300005  0.00140359
0.173828  -0.00460539  0.300029  0.00141269
0.175781  -0.00449611  0.300053  0.00142158
0.177734  -0.00438616  0.300077  0.00143025
0.179688  -0.00427555  0.300101  0.00143871
0.181641  -0.0041643  0.300125  0.00144695
0.183594  -0.00405241  0.300149  0.00145497
0.185547  -0.00393992  0.300174  0.00146278
0.1875  -0.00382683  0.300198  0.00147036
0.189453  -0.00371317  0.300223  0.00147773
0.191406  -0.00359895  0.300248  0.00148487
0.193359  -0.00348419  0.300273  0.00149178
0.195312  -0.0033689  0.300298  0.00149848
0.197266  -0.0032531  0.300323  0.00150494
0.199219  -0.00313682  0.300348  0.00151118
0.201172  -0.00302006  0.300374  0.0015172
0.203125  -0.00290285  0.300399  0.00152298
0.205078  -0.0027852  0.300425  0.00152853
0.207031  -0.00266713  0.30045  0.00153386
0.208984  -0.00254866  0.300476  0.00153895
0.210938  -0.0024298  0.300502  0.00154381
0.212891  -0.00231058  0.300528  0.00154844
0.214844  -0.00219101  0.300554  0.00155284
0.216797  -0.00207111  0.30058  0.001557
0.21875  -0.0019509  0.300606  0.00156093
0.220703  -0.0018304  0.300632  0.00156462
0.222656  -0.00170962  0.300659  0.00156808
0.224609  -0.00158858  0.300685  0.0015713
0.226562  -0.0014673  0.300711  0.00157428
0.228516  -0.00134581  0.300738  0.00157703
0.230469  -0.00122411  0.300764  0.00157954
0.232422  -0.00110222  0.300791  0.00158181
0.234375  -0.000980171  0.300817  0.00158385
0.236328  -0.000857973  0.300844  0.00158564
0.238281  -0.000735646  0.30087  0.0015872
0.240234  -0.000613207  0.300897  0.00158851
0.242188  -0.000490677  0.300923  0.00158959
0.244141  -0.000368072  0.30095  0.00159043
0.246094  -0.000245412  0.300977  0.00159103
0.248047  -0.000122715  0.301003  0.00159139
0.25  -2.22045e-16  0.30103  0.00159151
0.251953  0.000122715  0.301057  0.00159139
0.253906  0.000245412  0.301083  0.00159103
0.255859  0.000368072  0.30111  0.00159043
0.257812  0.000490677  0.301137  0.00158959
0.259766  0.000613207  0.301163  0.00158851
0.261719  0.000735646  0.30119  0.0015872
0.263672  0.000857973  0.301216  0.00158564
0.265625  0.000980171  0.301243  0.00158385
0.267578  0.00110222  0.301269  0.00158181
0.269531  0.00122411  0.301296  0.00157954
0.271484  0.00134581  0.301322  0.00157703
