# D = 59.06
# x/p  delta  log(2+delta)  velocity
0  0.00784844  0.302731  -6.90177e-15
0.00195312  0.00784784  0.302731  -0.00023755
0.00390625  0.00784605  0.30273  -0.000475066
0.00585938  0.00784307  0.30273  -0.000712514
0.0078125  0.0078389  0.302729  -0.000949858
0.00976562  0.00783354  0.302728  -0.00118707
0.0117188  0.00782699  0.302726  -0.0014241
0.0136719  0.00781925  0.302725  -0.00166093
0.015625  0.00781033  0.302723  -0.00189752
0.0175781  0.00780022  0.30272  -0.00213384
0.0195312  0.00778892  0.302718  -0.00236984
0.0214844  0.00777644  0.302715  -0.00260551
0.0234375  0.00776278  0.302712  -0.0028408
0.0253906  0.00774795  0.302709  -0.00307567
0.0273438  0.00773193  0.302706  -0.00331011
0.0292969  0.00771475  0.302702  -0.00354406
0.03125  0.00769639  0.302698  -0.0037775
0.0332031  0.00767686  0.302694  -0.0040104
0.0351562  0.00765617  0.302689  -0.00424271
0.0371094  0.00763432  0.302685  -0.00447441
0.0390625  0.00761131  0.30268  -0.00470547
0.0410156  0.00758714  0.302674  -0.00493584
0.0429688  0.00756182  0.302669  -0.0051655
0.0449219  0.00753536  0.302663  -0.00539441
0.046875  0.00750775  0.302657  -0.00562254
0.0488281  0.007479  0.302651  -0.00584986
0.0507812  0.00744912  0.302645  -0.00607633
0.0527344  0.00741811  0.302638  -0.00630192
0.0546875  0.00738597  0.302631  -0.0065266
0.0566406  0.00735272  0.302624  -0.00675033
0.0585938  0.00731834  0.302616  -0.00697309
0.0605469  0.00728286  0.302609  -0.00719483
0.0625  0.00724628  0.302601  -0.00741553
0.0644531  0.0072086  0.302593  -0.00763516
0.0664062  0.00716982  0.302584  -0.00785368
0.0683594  0.00712996  0.302575  -0.00807106
0.0703125  0.00708902  0.302567  -0.00828727
0.0722656  0.00704701  0.302558  -0.00850227
0.0742188  0.00700392  0.302548  -0.00871604
0.0761719  0.00695978  0.302539  -0.00892855
0.078125  0.00691458  0.302529  -0.00913976
0.0800781  0.00686834  0.302519  -0.00934965
0.0820312  0.00682106  0.302509  -0.00955817
0.0839844  0.00677274  0.302498  -0.00976531
0.0859375  0.0067234  0.302488  -0.00997103
0.0878906  0.00667305  0.302477  -0.0101753
0.0898438  0.00662168  0.302465  -0.0103781
0.0917969  0.00656931  0.302454  -0.0105794
0.09375  0.00651595  0.302443  -0.0107791
0.0957031  0.0064616  0.302431  -0.0109773
0.0976562  0.00640628  0.302419  -0.0111739
0.0996094  0.00634999  0.302407  -0.0113688
0.101562  0.00629274  0.302394  -0.0115621
0.103516  0.00623454  0.302382  -0.0117537
0.105469  0.0061754  0.302369  -0.0119436
0.107422  0.00611532  0.302356  -0.0121317
0.109375  0.00605432  0.302343  -0.0123181
0.111328  0.00599241  0.302329  -0.0125027
0.113281  0.0059296  0.302316  -0.0126855
0.115234  0.00586589  0.302302  -0.0128664
0.117188  0.00580129  0.302288  -0.0130454
0.119141  0.00573582  0.302274  -0.0132225
0.121094  0.00566949  0.302259  -0.0133977
0.123047  0.0056023  0.302245  -0.0135709
0.125  0.00553427  0.30223  -0.0137422
0.126953  0.0054654  0.302215  -0.0139114
0.128906  0.00539572  0.3022  -0.0140786
0.130859  0.00532522  0.302185  -0.0142438
0.132812  0.00525391  0.302169  -0.0144068
0.134766  0.00518182  0.302154  -0.0145678
0.136719  0.00510895  0.302138  -0.0147266
0.138672  0.00503531  0.302122  -0.0148832
0.140625  0.00496092  0.302106  -0.0150377
0.142578  0.00488578  0.30209  -0.01519
0.144531  0.0048099  0.302073  -0.01534
0.146484  0.00473331  0.302057  -0.0154878
0.148438  0.004656  0.30204  -0.0156333
0.150391  0.004578  0.302023  -0.0157765
0.152344  0.00449931  0.302006  -0.0159173
0.154297  0.00441994  0.301989  -0.0160559
0.15625  0.00433992  0.301971  -0.0161921
0.158203  0.00425924  0.301954  -0.0163259
0.160156  0.00417792  0.301936  -0.0164572
0.162109  0.00409599  0.301919  -0.0165862
0.164062  0.00401343  0.301901  -0.0167127
0.166016  0.00393028  0.301883  -0.0168368
0.167969  0.00384654  0.301864  -0.0169584
0.169922  0.00376223  0.301846  -0.0170774
0.171875  0.00367736  0.301828  -0.017194
0.173828  0.00359194  0.301809  -0.017308
0.175781  0.00350598  0.301791  -0.0174194
0.177734  0.0034195  0.301772  -0.0175283
0.179688  0.00333251  0.301753  -0.0176346
0.181641  0.00324503  0.301734  -0.0177382
0.183594  0.00315706  0.301715  -0.0178393
0.185547  0.00306863  0.301696  -0.0179377
0.1875  0.00297974  0.301677  -0.0180334
0.189453  0.0028904  0.301657  -0.0181265
0.191406  0.00280064  0.301638  -0.0182169
0.193359  0.00271047  0.301618  -0.0183045
0.195312  0.00261989  0.301599  -0.0183895
0.197266  0.00252893  0.301579  -0.0184717
0.199219  0.0024376  0.301559  -0.0185512
0.201172  0.0023459  0.301539  -0.0186279
0.203125  0.00225386  0.301519  -0.0187019
0.205078  0.00216149  0.301499  -0.018773
0.207031  0.0020688  0.301479  -0.0188414
0.208984  0.00197581  0.301459  -0.018907
0.210938  0.00188253  0.301439  -0.0189697
0.212891  0.00178898  0.301418  -0.0190296
0.214844  0.00169516  0.301398  -0.0190867
0.216797  0.0016011  0.301378  -0.0191409
0.21875  0.00150681  0.301357  -0.0191923
0.220703  0.00141229  0.301337  -0.0192408
0.222656  0.00131758  0.301316  -0.0192864
0.224609  0.00122267  0.301295  -0.0193292
0.226562  0.00112759  0.301275  -0.019369
0.228516  0.00103235  0.301254  -0.019406
0.230469  0.000936968  0.301233  -0.01944
0.232422  0.000841451  0.301213  -0.0194711
0.234375  0.000745816  0.301192  -0.0194993
0.236328  0.000650079  0.301171  -0.0195246
0.238281  0.000554253  0.30115  -0.019547
0.240234  0.000458354  0.30113  -0.0195664
0.242188  0.000362396  0.301109  -0.0195829
0.244141  0.000266393  0.301088  -0.0195964
0.246094  0.000170359  0.301067  -0.019607
0.248047  7.43097e-05  0.301046  -0.0196146
0.25  -2.17411e-05  0.301025  -0.0196193
0.251953  -0.000117779  0.301004  -0.0196211
0.253906  -0.000213789  0.300984  -0.0196198
0.255859  -0.000309757  0.300963  -0.0196157
0.257812  -0.000405669  0.300942  -0.0196085
0.259766  -0.000501509  0.300921  -0.0195984
0.261719  -0.000597265  0.3009  -0.0195854
0.263672  -0.000692921  0.30088  -0.0195693
0.265625  -0.000788463  0.300859  -0.0195504
0.267578  -0.000883876  0.300838  -0.0195284
0.269531  -0.000979147  0.300817  -0.0195036
0.271484  -0.00107426  0.300797  -0.0194757
0.273438  -0.0011692  0.300776  -0.0194449
0.275391  -0.00126396  0.300755  -0.0194112
0.277344  -0.00135852  0.300735  -0.0193745
0.279297  -0.00145286  0.300714  -0.0193349
0.28125  -0.00154698  0.300694  -0.0192924
0.283203  -0.00164085  0.300674  -0.0192469
0.285156  -0.00173447  0.300653  -0.0191985
0.287109  -0.00182782  0.300633  -0.0191472
0.289062  -0.00192088  0.300613  -0.019093
0.291016  -0.00201365  0.300593  -0.0190359
0.292969  -0.0021061  0.300572  -0.0189759
0.294922  -0.00219823  0.300552  -0.018913
0.296875  -0.00229002  0.300532  -0.0188472
0.298828  -0.00238145  0.300513  -0.0187785
0.300781  -0.00247252  0.300493  -0.018707
0.302734  -0.00256321  0.300473  -0.0186326
0.304688  -0.00265351  0.300453  -0.0185554
0.306641  -0.00274339  0.300434  -0.0184754
0.308594  -0.00283286  0.300414  -0.0183925
0.310547  -0.0029219  0.300395  -0.0183068
0.3125  -0.00301048  0.300376  -0.0182184
0.314453  -0.00309861  0.300357  -0.0181271
0.316406  -0.00318626  0.300338  -0.0180331
0.318359  -0.00327343  0.300319  -0.0179363
0.320312  -0.0033601  0.3003  -0.0178368
0.322266  -0.00344625  0.300281  -0.0177345
0.324219  -0.00353188  0.300262  -0.0176295
0.326172  -0.00361697  0.300244  -0.0175218
0.328125  -0.00370152  0.300225  -0.0174114
0.330078  -0.0037855  0.300207  -0.0172984
0.332031  -0.0038689  0.300189  -0.0171827
0.333984  -0.00395172  0.300171  -0.0170644
0.335938  -0.00403393  0.300153  -0.0169434
0.337891  -0.00411554  0.300135  -0.0168198
0.339844  -0.00419652  0.300118  -0.0166937
0.341797  -0.00427686  0.3001  -0.016565
0.34375  -0.00435656  0.300083  -0.0164337
0.345703  -0.00443559  0.300066  -0.0162999
0.347656  -0.00451396  0.300049  -0.0161636
0.349609  -0.00459164  0.300032  -0.0160248
0.351562  -0.00466862  0.300015  -0.0158835
0.353516  -0.00474491  0.299998  -0.0157398
0.355469  -0.00482047  0.299982  -0.0155937
0.357422  -0.00489531  0.299966  -0.0154451
0.359375  -0.0049694  0.29995  -0.0152942
0.361328  -0.00504275  0.299934  -0.0151409
0.363281  -0.00511533  0.299918  -0.0149853
0.365234  -0.00518715  0.299902  -0.0148274
0.367188  -0.00525818  0.299887  -0.0146671
0.369141  -0.00532841  0.299871  -0.0145046
0.371094  -0.00539785  0.299856  -0.0143399
0.373047  -0.00546647  0.299841  -0.0141729
0.375  -0.00553427  0.299827  -0.0140037
0.376953  -0.00560123  0.299812  -0.0138324
0.378906  -0.00566736  0.299798  -0.0136589
0.380859  -0.00573262  0.299783  -0.0134834
0.382812  -0.00579703  0.299769  -0.0133057
0.384766  -0.00586056  0.299756  -0.0131259
0.386719  -0.00592322  0.299742  -0.0129442
0.388672  -0.00598498  0.299728  -0.0127604
0.390625  -0.00604584  0.299715  -0.0125746
0.392578  -0.00610579  0.299702  -0.0123869
0.394531  -0.00616483  0.299689  -0.0121973
0.396484  -0.00622294  0.299677  -0.0120058
0.398438  -0.00628012  0.299664  -0.0118124
0.400391  -0.00633635  0.299652  -0.0116171
0.402344  -0.00639163  0.29964  -0.0114201
0.404297  -0.00644595  0.299628  -0.0112213
0.40625  -0.00649931  0.299616  -0.0110207
0.408203  -0.00655169  0.299605  -0.0108185
0.410156  -0.00660309  0.299594  -0.0106145
0.412109  -0.0066535  0.299583  -0.0104089
0.414062  -0.00670291  0.299572  -0.0102017
0.416016  -0.00675131  0.299561  -0.00999288
0.417969  -0.0067987  0.299551  -0.00978251
0.419922  -0.00684508  0.299541  -0.00957061
0.421875  -0.00689043  0.299531  -0.00935723
0.423828  -0.00693474  0.299522  -0.00914238
0.425781  -0.00697802  0.299512  -0.00892612
0.427734  -0.00702025  0.299503  -0.00870846
0.429688  -0.00706144  0.299494  -0.00848944
0.431641  -0.00710156  0.299485  -0.0082691
0.433594  -0.00714062  0.299477  -0.00804746
0.435547  -0.00717862  0.299468  -0.00782458
0.4375  -0.00721553  0.29946  -0.00760047
