# D = 30
# z-slice at iz = N/2 (z = p/2)
# x/p  y/p  delta  vx  vy  vz
0  0  1.9246  8.828e-19  -2.09142e-19  -2.05491e-19
0  0.015625  1.90241  6.16897e-19  -0.000210789  -2.06661e-19
0  0.03125  1.79656  4.46517e-19  -0.000393588  3.05309e-19
0  0.046875  1.64222  6.5505e-19  -0.000527526  5.06153e-20
0  0.0625  1.45675  -1.81567e-20  -0.00060558  -1.36091e-19
0  0.078125  1.23463  1.01303e-19  -0.000634812  -2.5168e-19
0  0.09375  1.01921  5.23124e-19  -0.000623435  8.60342e-20
0  0.109375  0.825314  3.09106e-19  -0.000585738  -4.13543e-19
0  0.125  0.646292  -9.30206e-20  -0.000537163  1.34091e-19
0  0.140625  0.478872  8.55769e-20  -0.000489402  2.04101e-19
0  0.15625  0.327192  1.1563e-19  -0.000448939  1.15649e-19
0  0.171875  0.195937  -1.42598e-19  -0.000418753  -4.24054e-19
0  0.1875  0.0859815  6.91737e-20  -0.000400015  -4.86175e-19
0  0.203125  -0.00561681  -1.68599e-19  -0.000393055  2.46825e-19
0  0.21875  -0.0838603  0  -0.00039782  1.79571e-19
0  0.234375  -0.153637  1.1155e-19  -0.000413922  -8.86032e-20
0  0.25  -0.217596  -3.42051e-20  -0.000440246  3.18394e-19
0  0.265625  -0.274855  -4.25873e-19  -0.000474192  2.42328e-19
0  0.28125  -0.322157  -3.83391e-19  -0.000511285  1.52506e-19
0  0.296875  -0.358263  -2.03315e-19  -0.000546807  1.70018e-19
0  0.3125  -0.38805  -1.86575e-19  -0.000579048  -5.88773e-20
0  0.328125  -0.418795  9.94347e-20  -0.000608795  -3.86678e-19
0  0.34375  -0.449172  -9.14285e-19  -0.000632486  3.12382e-19
0  0.359375  -0.469865  -1.15087e-18  -0.000640308  -3.7162e-19
0  0.375  -0.483357  -1.05265e-18  -0.000630259  5.26512e-19
0  0.390625  -0.502311  -1.41942e-20  -0.000609166  6.80573e-20
0  0.40625  -0.518171  -9.59253e-20  -0.000569925  1.04936e-18
0  0.421875  -0.523466  -1.0917e-18  -0.000507125  -1.11665e-20
0  0.4375  -0.535931  -1.3817e-18  -0.000432595  2.24003e-20
0  0.453125  -0.540838  -1.77956e-18  -0.000339658  1.4035e-18
0  0.46875  -0.541786  -2.09066e-18  -0.000233198  -5.96456e-19
0  0.484375  -0.546703  -9.59911e-19  -0.00011935  -7.81414e-20
0  0.5  -0.542558  -2.18284e-18  -1.33592e-18  5.43002e-19
0  0.515625  -0.546703  -3.14734e-18  0.00011935  -9.0027e-19
0  0.53125  -0.541786  -1.01848e-18  0.000233198  -9.45784e-19
0  0.546875  -0.540838  -8.72376e-19  0.000339658  1.36835e-18
0  0.5625  -0.535931  -1.26782e-18  0.000432595  1.22045e-19
0  0.578125  -0.523466  -1.96116e-18  0.000507125  -7.59259e-19
0  0.59375  -0.518171  -1.25371e-18  0.000569925  9.2159e-19
0  0.609375  -0.502311  -5.33348e-20  0.000609166  4.5781e-19
0  0.625  -0.483357  -1.53829e-19  0.000630259  2.26843e-19
0  0.640625  -0.469865  -7.05e-19  0.000640308  -2.05643e-19
0  0.65625  -0.449172  -6.06151e-19  0.000632486  8.01604e-19
0  0.671875  -0.418795  -7.07681e-19  0.000608795  5.29493e-19
0  0.6875  -0.38805  -1.02227e-18  0.000579048  3.68898e-19
0  0.703125  -0.358263  -8.58813e-19  0.000546807  1.92794e-20
0  0.71875  -0.322157  -7.67633e-19  0.000511285  1.36952e-19
0  0.734375  -0.274855  -2.43128e-19  0.000474192  3.33701e-19
0  0.75  -0.217596  7.63104e-20  0.000440246  1.3287e-19
0  0.765625  -0.153637  -2.93221e-20  0.000413922  -1.18562e-19
0  0.78125  -0.0838603  -4.06147e-20  0.00039782  3.31044e-19
0  0.796875  -0.00561681  -2.3727e-19  0.000393055  1.6621e-19
0  0.8125  0.0859815  4.23824e-19  0.000400015  -6.406e-19
0  0.828125  0.195937  3.39201e-19  0.000418753  1.39362e-19
0  0.84375  0.327192  -1.23344e-19  0.000448939  6.45904e-20
0  0.859375  0.478872  -2.05085e-19  0.000489402  2.05085e-19
0  0.875  0.646292  1.47781e-19  0.000537163  -1.89208e-19
0  0.890625  0.825314  -2.68791e-19  0.000585738  -6.23286e-19
0  0.90625  1.01921  2.26264e-19  0.000623435  3.28058e-19
0  0.921875  1.23463  3.3137e-20  0.000634812  1.69153e-19
0  0.9375  1.45675  -9.06989e-20  0.00060558  -2.17669e-19
0  0.953125  1.64222  5.64572e-19  0.000527526  -3.86956e-19
0  0.96875  1.79656  6.51643e-19  0.000393588  5.06619e-19
0  0.984375  1.90241  5.96046e-19  0.000210789  -1.82723e-19

0.015625  0  1.90241  -0.000210789  2.44111e-19  -3.34238e-19
0.015625  0.015625  1.87593  -0.000207997  -0.000207997  4.30866e-19
0.015625  0.03125  1.76979  -0.000200501  -0.000389489  3.52538e-19
0.015625  0.046875  1.61359  -0.000188865  -0.000524238  4.29757e-20
0.015625  0.0625  1.43627  -0.000172748  -0.000603299  2.31483e-19
0.015625  0.078125  1.22493  -0.000154421  -0.00063409  4.55862e-19
0.015625  0.09375  1.01324  -0.000134569  -0.000625505  -5.95404e-20
0.015625  0.109375  0.821458  -0.000113441  -0.000590063  -2.37093e-19
0.015625  0.125  0.644717  -9.19678e-05  -0.000542955  1.35121e-20
0.015625  0.140625  0.479416  -7.11123e-05  -0.000495928  1.45896e-19
0.015625  0.15625  0.329189  -5.13945e-05  -0.000455684  -3.85078e-21
0.015625  0.171875  0.198531  -3.29791e-05  -0.000425416  -2.8599e-19
0.015625  0.1875  0.0885113  -1.58517e-05  -0.00040642  1.80095e-19
0.015625  0.203125  -0.0034863  6.15036e-08  -0.000399093  1.3285e-19
0.015625  0.21875  -0.0821404  1.48219e-05  -0.000403394  9.19269e-21
0.015625  0.234375  -0.152095  2.84289e-05  -0.000418916  -3.86656e-19
0.015625  0.25  -0.215916  4.07935e-05  -0.000444518  4.97287e-20
0.015625  0.265625  -0.272878  5.17791e-05  -0.000477629  1.72491e-19
0.015625  0.28125  -0.320086  6.13731e-05  -0.000513931  2.28612e-19
0.015625  0.296875  -0.356564  6.99036e-05  -0.000548911  5.72205e-19
0.015625  0.3125  -0.386933  7.79042e-05  -0.000580808  2.57113e-19
0.015625  0.328125  -0.417794  8.54566e-05  -0.000610025  1.92261e-19
0.015625  0.34375  -0.447728  9.18701e-05  -0.000632856  -3.15202e-19
0.015625  0.359375  -0.468378  9.68419e-05  -0.000640132  -1.17251e-19
0.015625  0.375  -0.482496  0.000101566  -0.000630133  -1.03648e-19
0.015625  0.390625  -0.501377  0.000106371  -0.000608721  2.64218e-19
0.015625  0.40625  -0.516684  0.00010958  -0.000568885  -2.35185e-20
0.015625  0.421875  -0.522449  0.00011219  -0.000506117  4.33e-19
0.015625  0.4375  -0.534938  0.000115333  -0.000431196  -2.37092e-19
0.015625  0.453125  -0.540494  0.00011657  -0.000338226  -3.91163e-19
0.015625  0.46875  -0.543615  0.000118373  -0.000232492  1.68623e-19
0.015625  0.484375  -0.549513  0.000119037  -0.000119037  3.96985e-19
0.015625  0.5  -0.546703  0.00011935  -9.15677e-19  -1.06919e-18
0.015625  0.515625  -0.549513  0.000119037  0.000119037  1.30149e-19
0.015625  0.53125  -0.543615  0.000118373  0.000232492  3.20894e-19
0.015625  0.546875  -0.540494  0.00011657  0.000338226  -1.09474e-19
0.015625  0.5625  -0.534938  0.000115333  0.000431196  -1.14551e-19
0.015625  0.578125  -0.522449  0.00011219  0.000506117  2.51911e-19
0.015625  0.59375  -0.516684  0.00010958  0.000568885  4.19736e-19
0.015625  0.609375  -0.501377  0.000106371  0.000608721  9.64808e-20
0.015625  0.625  -0.482496  0.000101566  0.000630133  -3.22322e-19
0.015625  0.640625  -0.468378  9.68419e-05  0.000640132  -1.89851e-19
0.015625  0.65625  -0.447728  9.18701e-05  0.000632856  3.87741e-20
0.015625  0.671875  -0.417794  8.54566e-05  0.000610025  -1.26559e-19
0.015625  0.6875  -0.386933  7.79042e-05  0.000580808  3.38052e-19
0.015625  0.703125  -0.356564  6.99036e-05  0.000548911  2.6076e-19
0.015625  0.71875  -0.320086  6.13731e-05  0.000513931  4.77982e-20
0.015625  0.734375  -0.272878  5.17791e-05  0.000477629  -3.15688e-20
0.015625  0.75  -0.215916  4.07935e-05  0.000444518  -6.72978e-20
0.015625  0.765625  -0.152095  2.84289e-05  0.000418916  -1.76255e-19
0.015625  0.78125  -0.0821404  1.48219e-05  0.000403394  2.24989e-19
0.015625  0.796875  -0.0034863  6.15036e-08  0.000399093  -1.9448e-19
0.015625  0.8125  0.0885113  -1.58517e-05  0.00040642  -1.51976e-20
0.015625  0.828125  0.198531  -3.29791e-05  0.000425416  -2.29044e-19
0.015625  0.84375  0.329189  -5.13945e-05  0.000455684  -8.17197e-20
0.015625  0.859375  0.479416  -7.11123e-05  0.000495928  3.40581e-19
0.015625  0.875  0.644717  -9.19678e-05  0.000542955  2.97267e-19
0.015625  0.890625  0.821458  -0.000113441  0.000590063  3.72909e-19
0.015625  0.90625  1.01324  -0.000134569  0.000625505  2.24698e-19
0.015625  0.921875  1.22493  -0.000154421  0.00063409  2.64064e-19
0.015625  0.9375  1.43627  -0.000172748  0.000603299  4.74776e-19
0.015625  0.953125  1.61359  -0.000188865  0.000524238  -8.99828e-20
0.015625  0.96875  1.76979  -0.000200501  0.000389489  1.07851e-19
0.015625  0.984375  1.87593  -0.000207997  0.000207997  1.69561e-19

0.03125  0  1.79656  -0.000393588  3.40138e-19  3.1294e-19
0.03125  0.015625  1.76979  -0.000389489  -0.000200501  1.87023e-19
0.03125  0.03125  1.68802  -0.000376543  -0.000376543  5.9034e-19
0.03125  0.046875  1.54762  -0.000357399  -0.000511336  -1.86957e-19
0.03125  0.0625  1.38356  -0.000330472  -0.000595204  2.3898e-19
0.03125  0.078125  1.19234  -0.000298215  -0.000632028  3.20091e-19
0.03125  0.09375  0.994958  -0.000262334  -0.000630388  -1.88922e-19
0.03125  0.109375  0.810346  -0.000223415  -0.000601728  -4.59073e-20
0.03125  0.125  0.639856  -0.000182845  -0.000559264  2.60939e-19
0.03125  0.140625  0.480517  -0.00014252  -0.000514686  1.45873e-19
0.03125  0.15625  0.33453  -0.000103748  -0.000475315  -2.38409e-19
0.03125  0.171875  0.205815  -6.71515e-05  -0.000444937  1.44072e-19
0.03125  0.1875  0.0958646  -3.2924e-05  -0.00042525  5.84369e-20
0.03125  0.203125  0.00293356  -1.06951e-06  -0.000416857  7.09811e-20
0.03125  0.21875  -0.0767661  2.84417e-05  -0.000419786  2.35968e-21
0.03125  0.234375  -0.147207  5.55679e-05  -0.000433591  1.43326e-20
0.03125  0.25  -0.210727  8.01506e-05  -0.000457085  -2.53341e-19
0.03125  0.265625  -0.267017  0.000101995  -0.0004878  -1.82369e-19
0.03125  0.28125  -0.314099  0.000121154  -0.000521838  -7.56891e-20
0.03125  0.296875  -0.351609  0.000138218  -0.000555183  1.44876e-19
0.03125  0.3125  -0.383443  0.000154016  -0.00058591  -2.74792e-20
0.03125  0.328125  -0.414536  0.000168591  -0.000613467  1.89446e-19
0.03125  0.34375  -0.44341  0.000180907  -0.000633902  -1.82213e-19
0.03125  0.359375  -0.464132  0.000190795  -0.0006397  -8.08588e-20
0.03125  0.375  -0.47985  0.000200153  -0.000629629  4.29435e-19
0.03125  0.390625  -0.498507  0.00020909  -0.000607169  7.86263e-19
0.03125  0.40625  -0.512891  0.000215243  -0.000566082  2.53007e-19
0.03125  0.421875  -0.520367  0.000220643  -0.000504237  -1.01576e-19
0.03125  0.4375  -0.532392  0.000226236  -0.000429419  -3.4514e-19
0.03125  0.453125  -0.537138  0.000228634  -0.000336764  -4.26108e-19
0.03125  0.46875  -0.54031  0.000231759  -0.000231759  1.82597e-18
0.03125  0.484375  -0.543615  0.000232492  -0.000118373  1.57597e-19
0.03125  0.5  -0.541786  0.000233198  5.94862e-19  -4.46221e-19
0.03125  0.515625  -0.543615  0.000232492  0.000118373  7.30989e-20
0.03125  0.53125  -0.54031  0.000231759  0.000231759  1.56521e-18
