# initial delta histogram
# bin_center  count  normalised
-0.483444  2  0.000797784
-0.473881  2  0.000797784
-0.464317  3  0.00119668
-0.454754  2  0.000797784
-0.445191  2  0.000797784
-0.435628  3  0.00119668
-0.426065  7  0.00279225
-0.416501  16  0.00638228
-0.406938  10  0.00398892
-0.397375  17  0.00678117
-0.387812  28  0.011169
-0.378248  22  0.00877563
-0.368685  39  0.0155568
-0.359122  56  0.022338
-0.349559  83  0.0331081
-0.339996  92  0.0366981
-0.330432  115  0.0458726
-0.320869  162  0.0646205
-0.311306  188  0.0749917
-0.301743  258  0.102914
-0.292179  317  0.126449
-0.282616  369  0.147191
-0.273053  437  0.174316
-0.26349  554  0.220986
-0.253926  689  0.274837
-0.244363  839  0.334671
-0.2348  1049  0.418438
-0.225237  1202  0.479468
-0.215674  1375  0.548477
-0.20611  1694  0.675723
-0.196547  1896  0.7563
-0.186984  2156  0.860012
-0.177421  2614  1.0427
-0.167857  2962  1.18152
-0.158294  3379  1.34786
-0.148731  3739  1.49146
-0.139168  4106  1.63785
-0.129605  4547  1.81376
-0.120041  5064  2.01999
-0.110478  5527  2.20468
-0.100915  5916  2.35985
-0.0913516  6345  2.53097
-0.0817884  6925  2.76233
-0.0722252  7338  2.92707
-0.0626619  7558  3.01483
-0.0530987  7869  3.13888
-0.0435355  8083  3.22425
-0.0339723  8305  3.3128
-0.024409  8854  3.53179
-0.0148458  8849  3.5298
-0.00528257  8886  3.54456
0.00428066  8944  3.56769
0.0138439  8772  3.49908
0.0234071  8683  3.46358
0.0329703  8485  3.3846
0.0425336  8339  3.32636
0.0520968  7809  3.11495
0.06166  7595  3.02959
0.0712233  7206  2.87442
0.0807865  6946  2.77071
0.0903497  6591  2.6291
0.0999129  6071  2.42167
0.109476  5621  2.24217
0.119039  5105  2.03634
0.128603  4657  1.85764
0.138166  4127  1.64623
0.147729  3752  1.49664
0.157292  3389  1.35185
0.166856  2859  1.14043
0.176419  2556  1.01957
0.185982  2306  0.919845
0.195545  1956  0.780233
0.205108  1690  0.674128
0.214672  1462  0.58318
0.224235  1246  0.49702
0.233798  1034  0.412455
0.243361  890  0.355014
0.252925  704  0.28082
0.262488  574  0.228964
0.272051  457  0.182294
0.281614  378  0.150781
0.291177  284  0.113285
0.300741  274  0.109296
0.310304  194  0.0773851
0.319867  155  0.0618283
0.32943  128  0.0510582
0.338994  95  0.0378948
0.348557  67  0.0267258
0.35812  43  0.0171524
0.367683  43  0.0171524
0.377247  25  0.00997231
0.38681  23  0.00917452
0.396373  15  0.00598338
0.405936  16  0.00638228
0.415499  9  0.00359003
0.425063  4  0.00159557
0.434626  5  0.00199446
0.444189  3  0.00119668
0.453752  5  0.00199446
0.463316  2  0.000797784
