# initial s_x (box units) histogram
# bin_center  count  normalised
-0.00888844  3  0.066241
-0.00871567  3  0.066241
-0.00854291  13  0.287044
-0.00837014  14  0.309125
-0.00819738  23  0.507847
-0.00802461  49  1.08194
-0.00785185  77  1.70019
-0.00767909  107  2.36259
-0.00750632  142  3.13541
-0.00733356  176  3.88614
-0.00716079  200  4.41607
-0.00698803  263  5.80713
-0.00681526  380  8.39052
-0.0066425  385  8.50093
-0.00646973  533  11.7688
-0.00629697  665  14.6834
-0.0061242  836  18.4592
-0.00595144  913  20.1593
-0.00577868  1102  24.3325
-0.00560591  1296  28.6161
-0.00543315  1449  31.9944
-0.00526038  1631  36.013
-0.00508762  1672  36.9183
-0.00491485  1940  42.8358
-0.00474209  2080  45.9271
-0.00456932  2312  51.0497
-0.00439656  2369  52.3083
-0.00422379  2574  56.8348
-0.00405103  2736  60.4118
-0.00387827  3063  67.632
-0.0037055  3065  67.6762
-0.00353274  3338  73.7041
-0.00335997  3338  73.7041
-0.00318721  3479  76.8175
-0.00301444  3550  78.3852
-0.00284168  3570  78.8268
-0.00266891  3634  80.2399
-0.00249615  3764  83.1103
-0.00232338  3796  83.8169
-0.00215062  3908  86.2899
-0.00197786  4098  90.4852
-0.00180509  4160  91.8542
-0.00163233  4325  95.4974
-0.00145956  4501  99.3835
-0.0012868  4662  102.938
-0.00111403  4806  106.118
-0.000941268  4954  109.386
-0.000768504  5220  115.259
-0.000595739  5543  122.391
-0.000422975  5698  125.814
-0.00025021  5924  130.804
-7.74457e-05  5907  130.428
9.53188e-05  5917  130.649
0.000268083  6058  133.763
0.000440848  6108  134.867
0.000613612  6082  134.293
0.000786377  6031  133.166
0.000959141  5953  131.444
0.00113191  5975  131.93
0.00130467  5876  129.744
0.00147744  5872  129.656
0.0016502  5873  129.678
0.00182296  5915  130.605
0.00199573  5685  125.527
0.00216849  5613  123.937
0.00234126  5470  120.779
0.00251402  5211  115.061
0.00268679  5025  110.954
0.00285955  4584  101.216
0.00303232  4426  97.7275
0.00320508  4212  93.0023
0.00337785  3949  87.1952
0.00355061  3658  80.7698
0.00372337  3298  72.8209
0.00389614  3147  69.4868
0.0040689  2641  58.3141
0.00424167  2353  51.955
0.00441443  2066  45.618
0.0045872  1820  40.1862
0.00475996  1622  35.8143
0.00493273  1383  30.5371
0.00510549  1101  24.3104
0.00527825  1013  22.3674
0.00545102  865  19.0995
0.00562378  749  16.5382
0.00579655  626  13.8223
0.00596931  482  10.6427
0.00614208  404  8.92045
0.00631484  256  5.65256
0.00648761  215  4.74727
0.00666037  131  2.89252
0.00683314  80  1.76643
0.0070059  58  1.28066
0.00717866  34  0.750731
0.00735143  23  0.507847
0.00752419  15  0.331205
0.00769696  10  0.220803
0.00786972  8  0.176643
0.00804249  3  0.066241
0.00821525  2  0.0441607
