# initial s_y (box units) histogram
# bin_center  count  normalised
-0.00809143  3  0.0637882
-0.00791202  2  0.0425254
-0.00773261  13  0.276415
-0.00755321  21  0.446517
-0.0073738  35  0.744195
-0.00719439  49  1.04187
-0.00701498  86  1.82859
-0.00683557  132  2.80668
-0.00665617  172  3.65719
-0.00647676  220  4.6778
-0.00629735  264  5.61336
-0.00611794  346  7.3569
-0.00593854  504  10.7164
-0.00575913  616  13.0978
-0.00557972  720  15.3092
-0.00540031  860  18.2859
-0.0052209  1009  21.4541
-0.0050415  1111  23.6229
-0.00486209  1327  28.2156
-0.00468268  1481  31.4901
-0.00450327  1766  37.55
-0.00432387  1904  40.4842
-0.00414446  2300  48.9043
-0.00396505  2399  51.0093
-0.00378564  2627  55.8572
-0.00360624  3001  63.8094
-0.00342683  3204  68.1258
-0.00324742  3512  74.6747
-0.00306801  3862  82.1166
-0.0028886  4227  89.8775
-0.0027092  4570  97.1707
-0.00252979  4822  102.529
-0.00235038  4957  105.399
-0.00217097  5180  110.141
-0.00199157  5531  117.604
-0.00181216  5715  121.516
-0.00163275  5959  126.705
-0.00145334  6063  128.916
-0.00127393  6223  132.318
-0.00109453  6470  137.57
-0.000915119  6702  142.503
-0.000735712  6828  145.182
-0.000556304  6852  145.692
-0.000376896  6962  148.031
-0.000197488  7127  151.539
-1.80807e-05  6968  148.159
0.000161327  7023  149.328
0.000340735  6995  148.733
0.000520143  6873  146.139
0.00069955  7080  150.54
0.000878958  6631  140.993
0.00105837  6607  140.483
0.00123777  6396  135.996
0.00141718  6173  131.255
0.00159659  5794  123.196
0.001776  5470  116.307
0.0019554  5144  109.375
0.00213481  4779  101.615
0.00231422  4463  94.8955
0.00249363  4222  89.7712
0.00267304  4141  88.0489
0.00285244  3826  81.3512
0.00303185  3633  77.2475
0.00321126  3479  73.973
0.00339067  3402  72.3358
0.00357007  3131  66.5736
0.00374948  2920  62.0872
0.00392889  2656  56.4738
0.0041083  2397  50.9668
0.0042877  2198  46.7355
0.00446711  1920  40.8244
0.00464652  1652  35.126
0.00482593  1461  31.0648
0.00500534  1328  28.2369
0.00518474  1125  23.9206
0.00536415  903  19.2002
0.00554356  761  16.1809
0.00572297  603  12.8214
0.00590237  480  10.2061
0.00608178  368  7.82468
0.00626119  329  6.99544
0.0064406  219  4.65654
0.00662001  176  3.74224
0.00679941  167  3.55088
0.00697882  121  2.57279
0.00715823  88  1.87112
0.00733764  83  1.76481
0.00751704  59  1.2545
0.00769645  41  0.871772
0.00787586  38  0.807984
0.00805527  25  0.531568
0.00823468  28  0.595356
0.00841408  10  0.212627
0.00859349  8  0.170102
0.0087729  7  0.148839
0.00895231  3  0.0637882
0.00913171  4  0.0850509
0.00931112  1  0.0212627
0.00949053  0  0
0.00966994  1  0.0212627
