# initial s_z (box units) histogram
# bin_center  count  normalised
-0.0080722  2  0.04454
-0.00790091  8  0.17816
-0.00772962  18  0.40086
-0.00755832  20  0.4454
-0.00738703  30  0.6681
-0.00721574  40  0.8908
-0.00704444  44  0.97988
-0.00687315  50  1.1135
-0.00670186  68  1.51436
-0.00653056  91  2.02657
-0.00635927  136  3.02872
-0.00618798  141  3.14007
-0.00601668  180  4.0086
-0.00584539  214  4.76578
-0.0056741  270  6.0129
-0.0055028  371  8.26217
-0.00533151  464  10.3333
-0.00516022  583  12.9834
-0.00498892  722  16.0789
-0.00481763  930  20.7111
-0.00464634  1103  24.5638
-0.00447505  1435  31.9574
-0.00430375  1643  36.5896
-0.00413246  2020  44.9854
-0.00396117  2360  52.5572
-0.00378987  2722  60.6189
-0.00361858  3136  69.8387
-0.00344729  3402  75.7625
-0.00327599  3757  83.6684
-0.0031047  4123  91.8192
-0.00293341  4431  98.6783
-0.00276211  4744  105.649
-0.00259082  5100  113.577
-0.00241953  5302  118.075
-0.00224823  5596  124.623
-0.00207694  5692  126.761
-0.00190565  6034  134.377
-0.00173435  6094  135.713
-0.00156306  6302  140.345
-0.00139177  6538  145.601
-0.00122048  6673  148.608
-0.00104918  6537  145.579
-0.000877889  6547  145.802
-0.000706596  6537  145.579
-0.000535302  6667  148.474
-0.000364009  6534  145.512
-0.000192716  6449  143.619
-2.14229e-05  6324  140.835
0.00014987  6214  138.386
0.000321163  5998  133.575
0.000492457  5964  132.818
0.00066375  5844  130.146
0.000835043  5656  125.959
0.00100634  5751  128.075
0.00117763  5577  124.2
0.00134892  5448  121.327
0.00152022  5470  121.817
0.00169151  5542  123.42
0.0018628  5144  114.557
0.0020341  5104  113.666
0.00220539  4867  108.388
0.00237668  4695  104.558
0.00254797  4466  99.4578
0.00271927  4094  91.1733
0.00289056  3792  84.4478
0.00306185  3728  83.0225
0.00323315  3529  78.5908
0.00340444  3283  73.1124
0.00357573  2935  65.3624
0.00374703  2654  59.1046
0.00391832  2363  52.624
0.00408961  2158  48.0586
0.00426091  2015  44.874
0.0044322  1836  40.8877
0.00460349  1588  35.3647
0.00477479  1341  29.8641
0.00494608  1228  27.3475
0.00511737  1071  23.8512
0.00528867  925  20.5997
0.00545996  786  17.5042
0.00563125  592  13.1838
0.00580254  500  11.135
0.00597384  387  8.61849
0.00614513  298  6.63646
0.00631642  222  4.94394
0.00648772  187  4.16449
0.00665901  137  3.05099
0.0068303  136  3.02872
0.0070016  88  1.95976
0.00717289  66  1.46982
0.00734418  62  1.38074
0.00751548  56  1.24712
0.00768677  42  0.93534
0.00785806  45  1.00215
0.00802936  27  0.60129
0.00820065  25  0.55675
0.00837194  12  0.26724
0.00854324  7  0.15589
0.00871453  1  0.02227
0.00888582  4  0.08908
