# step = 0, time = 0, G_eff = 0
# x  rho  phase  re  im  V
0.000976562  1.87049e-21  0  4.32492e-11  0  0
0.00292969  2.7602e-21  0  5.25376e-11  0  0
0.00488281  4.06687e-21  0  6.37721e-11  0  0
0.00683594  5.983e-21  0  7.73499e-11  0  0
0.00878906  8.7885e-21  0  9.3747e-11  0  0
0.0107422  1.28898e-20  0  1.13533e-10  0  0
0.0126953  1.88763e-20  0  1.37391e-10  0  0
0.0146484  2.7601e-20  0  1.66136e-10  0  0
0.0166016  4.02967e-20  0  2.00741e-10  0  0
0.0185547  5.87425e-20  0  2.42368e-10  0  0
0.0205078  8.55011e-20  0  2.92406e-10  0  0
0.0224609  1.24259e-19  0  3.52504e-10  0  0
0.0244141  1.80311e-19  0  4.24631e-10  0  0
0.0263672  2.61249e-19  0  5.11125e-10  0  0
0.0283203  3.7794e-19  0  6.14768e-10  0  0
0.0302734  5.4592e-19  0  7.38864e-10  0  0
0.0322266  7.87358e-19  0  8.87332e-10  0  0
0.0341797  1.13384e-18  0  1.06482e-09  0  0
0.0361328  1.63031e-18  0  1.27684e-09  0  0
0.0380859  2.3406e-18  0  1.5299e-09  0  0
0.0400391  3.3552e-18  0  1.83172e-09  0  0
0.0419922  4.8023e-18  0  2.19141e-09  0  0
0.0439453  6.86304e-18  0  2.61974e-09  0  0
0.0458984  9.79312e-18  0  3.1294e-09  0  0
0.0478516  1.39528e-17  0  3.73535e-09  0  0
0.0498047  1.98492e-17  0  4.45524e-09  0  0
0.0517578  2.81941e-17  0  5.30981e-09  0  0
0.0537109  3.99864e-17  0  6.32348e-09  0  0
0.0556641  5.66244e-17  0  7.52492e-09  0  0
0.0576172  8.00631e-17  0  8.9478e-09  0  0
0.0595703  1.13031e-16  0  1.06316e-08  0  0
0.0615234  1.59331e-16  0  1.26227e-08  0  0
0.0634766  2.24255e-16  0  1.49751e-08  0  0
0.0654297  3.15152e-16  0  1.77525e-08  0  0
0.0673828  4.42216e-16  0  2.10289e-08  0  0
0.0693359  6.19566e-16  0  2.48911e-08  0  0
0.0712891  8.66716e-16  0  2.944e-08  0  0
0.0732422  1.21061e-15  0  3.47938e-08  0  0
0.0751953  1.68837e-15  0  4.10898e-08  0  0
0.0771484  2.3511e-15  0  4.84881e-08  0  0
0.0791016  3.26896e-15  0  5.71748e-08  0  0
0.0810547  4.53822e-15  0  6.73663e-08  0  0
0.0830078  6.29071e-15  0  7.9314e-08  0  0
0.0849609  8.70664e-15  0  9.33094e-08  0  0
0.0869141  1.2032e-14  0  1.09691e-07  0  0
0.0888672  1.66022e-14  0  1.28849e-07  0  0
0.0908203  2.28732e-14  0  1.51239e-07  0  0
0.0927734  3.1465e-14  0  1.77384e-07  0  0
0.0947266  4.32181e-14  0  2.0789e-07  0  0
0.0966797  5.92707e-14  0  2.43456e-07  0  0
0.0986328  8.11619e-14  0  2.84889e-07  0  0
0.100586  1.10969e-13  0  3.3312e-07  0  0
0.102539  1.51492e-13  0  3.89219e-07  0  0
0.104492  2.06497e-13  0  4.54419e-07  0  0
0.106445  2.81044e-13  0  5.30136e-07  0  0
0.108398  3.81921e-13  0  6.17997e-07  0  0
0.110352  5.18214e-13  0  7.19871e-07  0  0
0.112305  7.02074e-13  0  8.37899e-07  0  0
0.114258  9.49716e-13  0  9.74534e-07  0  0
0.116211  1.28275e-12  0  1.13259e-06  0  0
0.118164  1.72993e-12  0  1.31527e-06  0  0
0.120117  2.32943e-12  0  1.52625e-06  0  0
0.12207  3.13192e-12  0  1.76972e-06  0  0
0.124023  4.20443e-12  0  2.05047e-06  0  0
0.125977  5.63563e-12  0  2.37395e-06  0  0
0.12793  7.54248e-12  0  2.74636e-06  0  0
0.129883  1.00791e-11  0  3.17477e-06  0  0
0.131836  1.34484e-11  0  3.6672e-06  0  0
0.133789  1.79165e-11  0  4.23279e-06  0  0
0.135742  2.38328e-11  0  4.88189e-06  0  0
0.137695  3.16544e-11  0  5.62623e-06  0  0
0.139648  4.19788e-11  0  6.47911e-06  0  0
0.141602  5.55857e-11  0  7.45559e-06  0  0
0.143555  7.3491e-11  0  8.57269e-06  0  0
0.145508  9.70157e-11  0  9.84965e-06  0  0
0.147461  1.27875e-10  0  1.13082e-05  0  0
0.149414  1.68294e-10  0  1.29728e-05  0  0
