# step = 18000, time = 0.18, G_eff = 0
# x  rho  phase  re  im  V
0.000976562  1.91393  2.17628  -0.787401  1.13751  0
0.00292969  1.91146  2.17646  -0.787098  1.13663  0
0.00488281  1.90652  2.17682  -0.786491  1.13488  0
0.00683594  1.89913  2.17736  -0.785579  1.13225  0
0.00878906  1.88932  2.17808  -0.78436  1.12876  0
0.0107422  1.87713  2.17898  -0.782833  1.12441  0
0.0126953  1.86261  2.18004  -0.780994  1.11922  0
0.0146484  1.8458  2.18128  -0.77884  1.1132  0
0.0166016  1.82676  2.18269  -0.776368  1.10635  0
0.0185547  1.80557  2.18425  -0.773573  1.09871  0
0.0205078  1.78231  2.18597  -0.77045  1.09028  0
0.0224609  1.75705  2.18784  -0.766995  1.08109  0
0.0244141  1.72988  2.18986  -0.763201  1.07117  0
0.0263672  1.7009  2.19201  -0.759064  1.06053  0
0.0283203  1.6702  2.19429  -0.754577  1.0492  0
0.0302734  1.63789  2.19669  -0.749732  1.0372  0
0.0322266  1.60407  2.1992  -0.744525  1.02458  0
0.0341797  1.56886  2.2018  -0.738947  1.01134  0
0.0361328  1.53236  2.2045  -0.732991  0.997539  0
0.0380859  1.49469  2.20727  -0.726651  0.983191  0
0.0400391  1.45595  2.2101  -0.719918  0.968335  0
0.0419922  1.41628  2.21298  -0.712786  0.953002  0
0.0439453  1.37577  2.21588  -0.705246  0.937227  0
0.0458984  1.33454  2.21881  -0.697292  0.921044  0
0.0478516  1.2927  2.22172  -0.688916  0.904488  0
0.0498047  1.25037  2.22461  -0.68011  0.887595  0
0.0517578  1.20766  2.22745  -0.670868  0.870399  0
0.0537109  1.16466  2.23022  -0.661183  0.852935  0
0.0556641  1.12148  2.2329  -0.651047  0.835238  0
0.0576172  1.07823  2.23545  -0.640455  0.817343  0
0.0595703  1.035  2.23784  -0.6294  0.799285  0
0.0615234  0.991883  2.24005  -0.617877  0.781096  0
0.0634766  0.948969  2.24204  -0.60588  0.762809  0
0.0654297  0.906347  2.24376  -0.593405  0.744458  0
0.0673828  0.864099  2.24519  -0.580446  0.726073  0
0.0693359  0.822306  2.24627  -0.567  0.707684  0
0.0712891  0.781043  2.24696  -0.553063  0.689321  0
0.0732422  0.740383  2.24719  -0.538633  0.671012  0
0.0751953  0.700395  2.24692  -0.523706  0.652784  0
0.0771484  0.661145  2.24607  -0.508281  0.634661  0
0.0791016  0.622696  2.24457  -0.492357  0.616669  0
0.0810547  0.585109  2.24234  -0.475934  0.598829  0
0.0830078  0.54844  2.2393  -0.45901  0.581162  0
0.0849609  0.512744  2.23533  -0.441588  0.563688  0
0.0869141  0.478075  2.23032  -0.423669  0.546424  0
0.0888672  0.444481  2.22415  -0.405254  0.529387  0
0.0908203  0.412013  2.21667  -0.386347  0.51259  0
0.0927734  0.380716  2.20771  -0.366952  0.496046  0
0.0947266  0.350635  2.19707  -0.347072  0.479767  0
0.0966797  0.321815  2.18453  -0.326713  0.463761  0
0.0986328  0.294298  2.16983  -0.30588  0.448036  0
0.100586  0.268126  2.15266  -0.28458  0.432597  0
0.102539  0.243338  2.13269  -0.262821  0.417448  0
0.104492  0.219975  2.10949  -0.240611  0.402593  0
0.106445  0.198074  2.08258  -0.217958  0.388032  0
0.108398  0.177675  2.0514  -0.194872  0.373764  0
0.110352  0.158812  2.0153  -0.171364  0.359787  0
0.112305  0.141524  1.97353  -0.147444  0.346098  0
0.114258  0.125844  1.92525  -0.123124  0.332692  0
0.116211  0.111807  1.86955  -0.0984178  0.319563  0
0.118164  0.0994454  1.80551  -0.0733377  0.306703  0
0.120117  0.0887921  1.73224  -0.047898  0.294105  0
0.12207  0.0798771  1.64912  -0.0221134  0.281759  0
0.124023  0.0727296  1.55596  0.00400047  0.269655  0
0.125977  0.0673769  1.4533  0.0304276  0.257781  0
0.12793  0.0638448  1.34264  0.057151  0.246127  0
0.129883  0.0621566  1.22649  0.0841533  0.23468  0
0.131836  0.0623336  1.10822  0.111416  0.223428  0
0.133789  0.0643948  0.991484  0.138921  0.212357  0
0.135742  0.068356  0.879675  0.166648  0.201455  0
0.137695  0.0742305  0.775356  0.194578  0.190709  0
0.139648  0.0820283  0.680064  0.22269  0.180104  0
0.141602  0.0917558  0.594378  0.250962  0.169629  0
0.143555  0.103416  0.518141  0.279373  0.159269  0
0.145508  0.117008  0.450738  0.307901  0.149013  0
0.147461  0.132527  0.39132  0.336523  0.138849  0
0.149414  0.149962  0.338964  0.365215  0.128764  0
0.151367  0.169302  0.292766  0.393955  0.118749  0
0.15332  0.190526  0.251896  0.422717  0.108792  0
0.155273  0.213611  0.215618  0.451478  0.0988841  0
0.157227  0.238529  0.18329  0.480213  0.0890173  0
0.15918  0.265246  0.154361  0.508897  0.0791838  0
0.161133  0.293723  0.128363  0.537503  0.069377  0
0.163086  0.323915  0.104898  0.566007  0.0595915  0
0.165039  0.355772  0.083628  0.594382  0.0498232  0
0.166992  0.389239  0.0642684  0.622602  0.0400688  0
0.168945  0.424253  0.0465766  0.650641  0.0303266  0
0.170898  0.460749  0.030347  0.678472  0.0205959  0
0.172852  0.498652  0.0154044  0.706069  0.0108775  0
0.174805  0.537885  0.00159967  0.733406  0.00117321  0
0.176758  0.578364  -0.0111949  0.760455  -0.00851357  0
0.178711  0.619998  -0.0230886  0.787189  -0.0181783  0
0.180664  0.662692  -0.0341752  0.813584  -0.0278152  0
0.182617  0.706347  -0.0445355  0.839611  -0.0374172  0
0.18457  0.750856  -0.0542388  0.865245  -0.046976  0
0.186523  0.79611  -0.0633452  0.890461  -0.0564819  0
0.188477  0.841994  -0.0719063  0.915231  -0.0659245  0
0.19043  0.888387  -0.0799669  0.939531  -0.075292  0
0.192383  0.935168  -0.0875658  0.963335  -0.0845715  0
0.194336  0.982208  -0.0947364  0.98662  -0.0937494  0
0.196289  1.02938  -0.101508  1.00936  -0.102811  0
0.198242  1.07654  -0.107905  1.03153  -0.111741  0
0.200195  1.12357  -0.113949  1.05311  -0.120523  0
0.202148  1.17032  -0.119659  1.07408  -0.12914  0
0.204102  1.21666  -0.125052  1.09441  -0.137576  0
0.206055  1.26244  -0.13014  1.11408  -0.145811  0
0.208008  1.30753  -0.134937  1.13308  -0.153829  0
0.209961  1.35179  -0.139451  1.15138  -0.16161  0
0.211914  1.39507  -0.143693  1.16896  -0.169136  0
0.213867  1.43724  -0.147668  1.1858  -0.176389  0
0.21582  1.47818  -0.151383  1.2019  -0.18335  0
0.217773  1.51773  -0.154844  1.21722  -0.19  0
0.219727  1.55579  -0.158054  1.23177  -0.196323  0
0.22168  1.59222  -0.161017  1.24551  -0.202299  0
0.223633  1.6269  -0.163736  1.25844  -0.207913  0
0.225586  1.65973  -0.166212  1.27055  -0.213148  0
0.227539  1.6906  -0.168449  1.28183  -0.217988  0
0.229492  1.7194  -0.170445  1.29226  -0.222418  0
0.231445  1.74605  -0.172204  1.30184  -0.226424  0
0.233398  1.77046  -0.173724  1.31056  -0.229994  0
0.235352  1.79256  -0.175006  1.31841  -0.233115  0
0.237305  1.81227  -0.17605  1.3254  -0.235777  0
0.239258  1.82954  -0.176855  1.33151  -0.23797  0
0.241211  1.84433  -0.177421  1.33674  -0.239687  0
0.243164  1.8566  -0.177748  1.3411  -0.240921  0
0.245117  1.86632  -0.177834  1.34459  -0.241667  0
0.24707  1.87347  -0.177679  1.3472  -0.24192  0
0.249023  1.87804  -0.177282  1.34894  -0.241679  0
0.250977  1.88006  -0.176641  1.34982  -0.240944  0
0.25293  1.87952  -0.175757  1.34983  -0.239716  0
0.254883  1.87645  -0.174627  1.349  -0.237996  0
0.256836  1.8709  -0.173251  1.34733  -0.23579  0
0.258789  1.86291  -0.171629  1.34483  -0.233105  0
0.260742  1.85253  -0.169759  1.34151  -0.229946  0
0.262695  1.83983  -0.167641  1.33739  -0.226325  0
0.264648  1.82489  -0.165275  1.33248  -0.222252  0
0.266602  1.80779  -0.16266  1.32679  -0.217739  0
0.268555  1.78861  -0.159797  1.32035  -0.212802  0
0.270508  1.76747  -0.156686  1.31318  -0.207457  0
0.272461  1.74447  -0.153327  1.30529  -0.201719  0
0.274414  1.71971  -0.149722  1.2967  -0.19561  0
0.276367  1.69331  -0.145873  1.28745  -0.189148  0
0.27832  1.66539  -0.141781  1.27755  -0.182356  0
0.280273  1.63608  -0.137449  1.26703  -0.175257  0
0.282227  1.60551  -0.132879  1.25592  -0.167874  0
0.28418  1.57379  -0.128077  1.24423  -0.160235  0
0.286133  1.54107  -0.123046  1.23201  -0.152364  0
0.288086  1.50747  -0.117792  1.21928  -0.14429  0
0.290039  1.47313  -0.112322  1.20608  -0.136042  0
0.291992  1.43816  -0.106643  1.19242  -0.127648  0
0.293945  1.4027  -0.100764  1.17835  -0.119139  0
0.295898  1.36688  -0.0946942  1.1639  -0.110545  0
0.297852  1.3308  -0.0884455  1.14909  -0.101898  0
0.299805  1.29459  -0.0820306  1.13397  -0.0932298  0
0.301758  1.25836  -0.0754638  1.11857  -0.0845724  0
0.303711  1.22221  -0.0687614  1.10292  -0.0759584  0
0.305664  1.18625  -0.0619413  1.08706  -0.0674204  0
0.307617  1.15057  -0.0550237  1.07102  -0.0589913  0
0.30957  1.11527  -0.0480306  1.05484  -0.0507037  0
0.311523  1.08041  -0.0409864  1.03856  -0.0425905  0
0.313477  1.04608  -0.0339179  1.02219  -0.034684  0
0.31543  1.01236  -0.0268545  1.0058  -0.0270167  0
0.317383  0.979289  -0.0198279  0.989396  -0.0196202  0
0.319336  0.946937  -0.0128726  0.973026  -0.0125261  0
0.321289  0.915351  -0.00602599  0.956722  -0.00576526  0
0.323242  0.884572  0.000671975  0.940517  0.000632004  0
0.325195  0.854638  0.00717837  0.924443  0.0066361  0
0.327148  0.82558  0.0134475  0.908532  0.0122182  0
0.329102  0.797421  0.0194307  0.892816  0.0173502  0
0.331055  0.770182  0.0250769  0.877324  0.0220052  0
0.333008  0.743878  0.030332  0.862087  0.0261568  0
0.334961  0.718519  0.0351396  0.847132  0.0297802  0
0.336914  0.694113  0.0394409  0.832487  0.0328511  0
0.338867  0.670663  0.0431751  0.818177  0.0353468  0
0.34082  0.64817  0.0462792  0.804228  0.0372456  0
0.342773  0.626632  0.0486892  0.790663  0.0385272  0
0.344727  0.606047  0.0503396  0.777504  0.0391723  0
0.34668  0.586409  0.0511645  0.764771  0.0391633  0
0.348633  0.567715  0.0510977  0.752485  0.0384838  0
0.350586  0.549958  0.0500737  0.740662  0.0371187  0
0.352539  0.533135  0.0480278  0.729319  0.0350546  0
0.354492  0.517241  0.0448977  0.71847  0.0322793  0
0.356445  0.502274  0.0406234  0.708128  0.0287824  0
0.358398  0.488233  0.0351491  0.698305  0.0245549  0
0.360352  0.475118  0.0284234  0.68901  0.0195893  0
0.362305  0.462934  0.0204009  0.680251  0.0138797  0
0.364258  0.451685  0.0110432  0.672034  0.0074217  0
0.366211  0.44138  0.0003202  0.664364  0.00021273  0
0.368164  0.432031  -0.0117886  0.657245  -0.00774837  0
0.370117  0.423651  -0.025293  0.650676  -0.0164611  0
0.37207  0.416258  -0.0401907  0.64466  -0.0259233  0
0.374023  0.409872  -0.0564663  0.639192  -0.0361312  0
0.375977  0.404516  -0.0740903  0.63427  -0.0470795  0
0.37793  0.400215  -0.0930187  0.62989  -0.0587611  0
0.379883  0.396997  -0.113192  0.626045  -0.0711675  0
0.381836  0.394893  -0.134536  0.622727  -0.0842885  0
