# step = 0, time = 0, G_eff = 0, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  4.49536e-15  0
0.0078125  0.0234375  1.4667e-14  0
0.0078125  0.0390625  4.6063e-14  0
0.0078125  0.0546875  1.3925e-13  0
0.0078125  0.0703125  4.05203e-13  0
0.0078125  0.0859375  1.13496e-12  0
0.0078125  0.101562  3.06002e-12  0
0.0078125  0.117188  7.94145e-12  0
0.0078125  0.132812  1.98385e-11  0
0.0078125  0.148438  4.77035e-11  0
0.0078125  0.164062  1.10414e-10  0
0.0078125  0.179688  2.45998e-10  0
0.0078125  0.195312  5.2756e-10  0
0.0078125  0.210938  1.08904e-09  0
0.0078125  0.226562  2.16397e-09  0
0.0078125  0.242188  4.13896e-09  0
0.0078125  0.257812  7.62015e-09  0
0.0078125  0.273438  1.35042e-08  0
0.0078125  0.289062  2.3036e-08  0
0.0078125  0.304688  3.78249e-08  0
0.0078125  0.320312  5.97837e-08  0
0.0078125  0.335938  9.09536e-08  0
0.0078125  0.351562  1.33196e-07  0
0.0078125  0.367188  1.87756e-07  0
0.0078125  0.382812  2.54759e-07  0
0.0078125  0.398438  3.32735e-07  0
0.0078125  0.414062  4.18312e-07  0
0.0078125  0.429688  5.06216e-07  0
0.0078125  0.445312  5.89663e-07  0
0.0078125  0.460938  6.61157e-07  0
0.0078125  0.476562  7.13574e-07  0
0.0078125  0.492188  7.4132e-07  0
0.0078125  0.507812  7.4132e-07  0
0.0078125  0.523438  7.13574e-07  0
0.0078125  0.539062  6.61157e-07  0
0.0078125  0.554688  5.89663e-07  0
0.0078125  0.570312  5.06216e-07  0
0.0078125  0.585938  4.18312e-07  0
0.0078125  0.601562  3.32735e-07  0
0.0078125  0.617188  2.54759e-07  0
0.0078125  0.632812  1.87756e-07  0
0.0078125  0.648438  1.33196e-07  0
0.0078125  0.664062  9.09536e-08  0
0.0078125  0.679688  5.97837e-08  0
0.0078125  0.695312  3.78249e-08  0
0.0078125  0.710938  2.3036e-08  0
0.0078125  0.726562  1.35042e-08  0
0.0078125  0.742188  7.62015e-09  0
0.0078125  0.757812  4.13896e-09  0
0.0078125  0.773438  2.16397e-09  0
0.0078125  0.789062  1.08904e-09  0
0.0078125  0.804688  5.2756e-10  0
0.0078125  0.820312  2.45998e-10  0
0.0078125  0.835938  1.10414e-10  0
0.0078125  0.851562  4.77035e-11  0
0.0078125  0.867188  1.98385e-11  0
0.0078125  0.882812  7.94145e-12  0
0.0078125  0.898438  3.06002e-12  0
0.0078125  0.914062  1.13496e-12  0
0.0078125  0.929688  4.05203e-13  0
0.0078125  0.945312  1.3925e-13  0
0.0078125  0.960938  4.6063e-14  0
0.0078125  0.976562  1.4667e-14  0
0.0078125  0.992188  4.49536e-15  0

0.0234375  0.0078125  1.4667e-14  0
0.0234375  0.0234375  4.78541e-14  0
0.0234375  0.0390625  1.5029e-13  0
0.0234375  0.0546875  4.54332e-13  0
0.0234375  0.0703125  1.32206e-12  0
0.0234375  0.0859375  3.70305e-12  0
0.0234375  0.101562  9.98394e-12  0
0.0234375  0.117188  2.59106e-11  0
0.0234375  0.132812  6.47271e-11  0
0.0234375  0.148438  1.55642e-10  0
0.0234375  0.164062  3.60248e-10  0
0.0234375  0.179688  8.02619e-10  0
0.0234375  0.195312  1.72127e-09  0
0.0234375  0.210938  3.55323e-09  0
0.0234375  0.226562  7.0604e-09  0
0.0234375  0.242188  1.35042e-08  0
0.0234375  0.257812  2.48623e-08  0
0.0234375  0.273438  4.40602e-08  0
0.0234375  0.289062  7.51596e-08  0
0.0234375  0.304688  1.23412e-07  0
0.0234375  0.320312  1.95056e-07  0
0.0234375  0.335938  2.96755e-07  0
0.0234375  0.351562  4.34578e-07  0
0.0234375  0.367188  6.12591e-07  0
