# step = 150, time = 0.015, G_eff = 5000, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.0934881  0.0387103
0.0078125  0.0234375  0.163696  0.0385578
0.0078125  0.0390625  0.238405  0.0382605
0.0078125  0.0546875  0.162529  0.0378289
0.0078125  0.0703125  0.0308152  0.0372541
0.0078125  0.0859375  0.0274827  0.0365125
0.0078125  0.101562  0.118122  0.0356028
0.0078125  0.117188  0.1047  0.0345458
0.0078125  0.132812  0.116896  0.03335
0.0078125  0.148438  0.191348  0.0320313
0.0078125  0.164062  0.179299  0.030615
0.0078125  0.179688  0.137607  0.0291005
0.0078125  0.195312  0.270842  0.0274747
0.0078125  0.210938  0.605111  0.02576
0.0078125  0.226562  0.952523  0.0240122
0.0078125  0.242188  0.838582  0.0223025
0.0078125  0.257812  0.310594  0.0206424
0.0078125  0.273438  0.0344277  0.0189632
0.0078125  0.289062  0.00454377  0.0172348
0.0078125  0.304688  0.00177204  0.0154739
0.0078125  0.320312  0.110127  0.0136975
0.0078125  0.335938  0.560063  0.0119321
0.0078125  0.351562  1.03184  0.0102635
0.0078125  0.367188  0.967371  0.00879244
0.0078125  0.382812  0.644952  0.00751235
0.0078125  0.398438  0.419451  0.00637872
0.0078125  0.414062  0.353988  0.00537075
0.0078125  0.429688  0.293615  0.00449286
0.0078125  0.445312  0.267155  0.00375022
0.0078125  0.460938  0.436787  0.00313572
0.0078125  0.476562  0.893722  0.00266573
0.0078125  0.492188  1.2191  0.00240845
0.0078125  0.507812  1.2191  0.00240845
0.0078125  0.523438  0.893722  0.00266573
0.0078125  0.539062  0.436787  0.00313572
0.0078125  0.554688  0.267155  0.00375022
0.0078125  0.570312  0.293615  0.00449286
0.0078125  0.585938  0.353988  0.00537075
0.0078125  0.601562  0.419451  0.00637872
0.0078125  0.617188  0.644952  0.00751235
0.0078125  0.632812  0.967371  0.00879244
0.0078125  0.648438  1.03184  0.0102635
0.0078125  0.664062  0.560063  0.0119321
0.0078125  0.679688  0.110127  0.0136975
0.0078125  0.695312  0.00177204  0.0154739
0.0078125  0.710938  0.00454377  0.0172348
0.0078125  0.726562  0.0344277  0.0189632
0.0078125  0.742188  0.310594  0.0206424
0.0078125  0.757812  0.838582  0.0223025
0.0078125  0.773438  0.952523  0.0240122
0.0078125  0.789062  0.605111  0.02576
0.0078125  0.804688  0.270842  0.0274747
0.0078125  0.820312  0.137607  0.0291005
0.0078125  0.835938  0.179299  0.030615
0.0078125  0.851562  0.191348  0.0320313
0.0078125  0.867188  0.116896  0.03335
0.0078125  0.882812  0.1047  0.0345458
0.0078125  0.898438  0.118122  0.0356028
0.0078125  0.914062  0.0274827  0.0365125
0.0078125  0.929688  0.0308152  0.0372541
0.0078125  0.945312  0.162529  0.0378289
0.0078125  0.960938  0.238405  0.0382605
0.0078125  0.976562  0.163696  0.0385578
0.0078125  0.992188  0.0934881  0.0387103

0.0234375  0.0078125  0.163696  0.0385578
0.0234375  0.0234375  0.253265  0.0384039
0.0234375  0.0390625  0.299473  0.0381064
0.0234375  0.0546875  0.174803  0.0376741
0.0234375  0.0703125  0.0373617  0.0370951
0.0234375  0.0859375  0.0376899  0.0363478
0.0234375  0.101562  0.0950204  0.035433
0.0234375  0.117188  0.103738  0.0343673
0.0234375  0.132812  0.18587  0.0331598
0.0234375  0.148438  0.251259  0.0318333
0.0234375  0.164062  0.209617  0.0304103
0.0234375  0.179688  0.20399  0.028885
0.0234375  0.195312  0.363526  0.0272497
0.0234375  0.210938  0.645822  0.0255312
0.0234375  0.226562  0.861711  0.0237813
0.0234375  0.242188  0.685809  0.022059
0.0234375  0.257812  0.266542  0.0203688
0.0234375  0.273438  0.0702306  0.0186561
0.0234375  0.289062  0.0380893  0.0169014
0.0234375  0.304688  0.0474351  0.0151185
0.0234375  0.320312  0.220364  0.0133227
0.0234375  0.335938  0.661497  0.0115458
0.0234375  0.351562  1.06722  0.00986944
0.0234375  0.367188  1.0387  0.00838037
0.0234375  0.382812  0.778129  0.00707729
0.0234375  0.398438  0.528813  0.00592749
0.0234375  0.414062  0.347  0.00491242
0.0234375  0.429688  0.226144  0.00402915
0.0234375  0.445312  0.198407  0.00328066
0.0234375  0.460938  0.35233  0.00266554
0.0234375  0.476562  0.728347  0.0022033
0.0234375  0.492188  0.991837  0.00195289
0.0234375  0.507812  0.991837  0.00195289
0.0234375  0.523438  0.728347  0.0022033
0.0234375  0.539062  0.35233  0.00266554
0.0234375  0.554688  0.198407  0.00328066
0.0234375  0.570312  0.226144  0.00402915
0.0234375  0.585938  0.347  0.00491242
0.0234375  0.601562  0.528813  0.00592749
0.0234375  0.617188  0.778129  0.00707729
0.0234375  0.632812  1.0387  0.00838037
0.0234375  0.648438  1.06722  0.00986944
0.0234375  0.664062  0.661497  0.0115458
0.0234375  0.679688  0.220364  0.0133227
0.0234375  0.695312  0.0474351  0.0151185
0.0234375  0.710938  0.0380893  0.0169014
0.0234375  0.726562  0.0702306  0.0186561
0.0234375  0.742188  0.266542  0.0203688
0.0234375  0.757812  0.685809  0.022059
0.0234375  0.773438  0.861711  0.0237813
0.0234375  0.789062  0.645822  0.0255312
0.0234375  0.804688  0.363526  0.0272497
0.0234375  0.820312  0.20399  0.028885
0.0234375  0.835938  0.209617  0.0304103
