# step = 380, time = 0.82234
# r  rho_avg  count
0.0078125  1.33361  8
0.0234375  1.33222  24
0.0390625  1.329  104
0.0546875  1.32431  144
0.0703125  1.31806  272
0.0859375  1.31035  360
0.101562  1.30096  560
0.117188  1.29026  704
0.132812  1.27859  936
0.148438  1.26608  1112
0.164062  1.2529  1392
0.179688  1.23889  1592
0.195312  1.2236  2120
0.210938  1.20805  2208
0.226562  1.1919  2792
0.242188  1.17556  2928
0.257812  1.15978  3416
0.273438  1.14374  3792
0.289062  1.1279  4304
0.304688  1.11192  4784
0.320312  1.09666  5472
0.335938  1.0819  5696
0.351562  1.06802  6384
0.367188  1.05492  6752
0.382812  1.04207  7896
0.398438  1.03009  8072
0.414062  1.01882  8888
0.429688  1.00848  9384
0.445312  0.999234  10112
0.460938  0.989949  10896
0.476562  0.982473  11696
0.492188  0.974943  12576
