# step = 400, time = 1
# r  rho_avg  count
0.0078125  1.42977  8
0.0234375  1.42746  24
0.0390625  1.42245  104
0.0546875  1.41562  144
0.0703125  1.40698  272
0.0859375  1.39652  360
0.101562  1.38374  560
0.117188  1.3689  704
0.132812  1.3525  936
0.148438  1.33487  1112
0.164062  1.31651  1392
0.179688  1.29736  1592
0.195312  1.2769  2120
0.210938  1.25635  2208
0.226562  1.23519  2792
0.242188  1.21408  2928
0.257812  1.19377  3416
0.273438  1.17339  3792
0.289062  1.15359  4304
0.304688  1.1339  4784
0.320312  1.11517  5472
0.335938  1.09715  5696
0.351562  1.08018  6384
0.367188  1.06422  6752
0.382812  1.04857  7896
0.398438  1.03412  8072
0.414062  1.0206  8888
0.429688  1.00827  9384
0.445312  0.9973  10112
0.460938  0.986341  10896
0.476562  0.97766  11696
0.492188  0.968861  12576
