# step = 0, time = 0, G_eff = 0, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.998032  8.0862e-05
0.0078125  0.0234375  0.998032  8.05361e-05
0.0078125  0.0390625  0.998032  7.98863e-05
0.0078125  0.0546875  0.998032  7.89169e-05
0.0078125  0.0703125  0.998032  7.76342e-05
0.0078125  0.0859375  0.998032  7.60467e-05
0.0078125  0.101562  0.998032  7.41651e-05
0.0078125  0.117188  0.998032  7.20022e-05
0.0078125  0.132812  0.998032  6.95732e-05
0.0078125  0.148438  0.998032  6.68956e-05
0.0078125  0.164062  0.998032  6.39892e-05
0.0078125  0.179688  0.998032  6.08762e-05
0.0078125  0.195312  0.998032  5.75809e-05
0.0078125  0.210938  0.998032  5.41302e-05
0.0078125  0.226562  0.998032  5.05532e-05
0.0078125  0.242188  0.998032  4.6881e-05
0.0078125  0.257812  0.998032  4.31468e-05
0.0078125  0.273438  0.998032  3.93857e-05
0.0078125  0.289062  0.998032  3.56342e-05
0.0078125  0.304688  0.998032  3.19302e-05
0.0078125  0.320312  0.998032  2.83122e-05
0.0078125  0.335938  0.998032  2.48193e-05
0.0078125  0.351562  0.998032  2.14905e-05
0.0078125  0.367188  0.998032  1.83639e-05
0.0078125  0.382812  0.998032  1.54768e-05
0.0078125  0.398438  0.998032  1.28639e-05
0.0078125  0.414062  0.998032  1.0558e-05
0.0078125  0.429688  0.998032  8.58834e-06
0.0078125  0.445312  0.998032  6.98034e-06
0.0078125  0.460938  0.998032  5.75517e-06
0.0078125  0.476562  0.998032  4.92913e-06
0.0078125  0.492188  0.998032  4.51331e-06
0.0078125  0.507812  0.998032  4.51331e-06
0.0078125  0.523438  0.998032  4.92913e-06
0.0078125  0.539062  0.998032  5.75517e-06
0.0078125  0.554688  0.998032  6.98034e-06
0.0078125  0.570312  0.998032  8.58834e-06
0.0078125  0.585938  0.998032  1.0558e-05
0.0078125  0.601562  0.998032  1.28639e-05
0.0078125  0.617188  0.998032  1.54768e-05
0.0078125  0.632812  0.998032  1.83639e-05
0.0078125  0.648438  0.998032  2.14905e-05
0.0078125  0.664062  0.998032  2.48193e-05
0.0078125  0.679688  0.998032  2.83122e-05
0.0078125  0.695312  0.998032  3.19302e-05
0.0078125  0.710938  0.998032  3.56342e-05
0.0078125  0.726562  0.998032  3.93857e-05
0.0078125  0.742188  0.998032  4.31468e-05
0.0078125  0.757812  0.998032  4.6881e-05
0.0078125  0.773438  0.998032  5.05532e-05
0.0078125  0.789062  0.998032  5.41302e-05
0.0078125  0.804688  0.998032  5.75809e-05
0.0078125  0.820312  0.998032  6.08762e-05
0.0078125  0.835938  0.998032  6.39892e-05
0.0078125  0.851562  0.998032  6.68956e-05
0.0078125  0.867188  0.998032  6.95732e-05
0.0078125  0.882812  0.998032  7.20022e-05
0.0078125  0.898438  0.998032  7.41651e-05
0.0078125  0.914062  0.998032  7.60467e-05
0.0078125  0.929688  0.998032  7.76342e-05
0.0078125  0.945312  0.998032  7.89169e-05
0.0078125  0.960938  0.998032  7.98863e-05
0.0078125  0.976562  0.998032  8.05361e-05
0.0078125  0.992188  0.998032  8.0862e-05

0.0234375  0.0078125  0.998032  8.05361e-05
0.0234375  0.0234375  0.998032  8.02071e-05
0.0234375  0.0390625  0.998032  7.95514e-05
0.0234375  0.0546875  0.998032  7.85729e-05
0.0234375  0.0703125  0.998032  7.72781e-05
0.0234375  0.0859375  0.998032  7.56754e-05
0.0234375  0.101562  0.998032  7.37755e-05
0.0234375  0.117188  0.998032  7.15912e-05
0.0234375  0.132812  0.998032  6.91378e-05
0.0234375  0.148438  0.998032  6.64326e-05
0.0234375  0.164062  0.998032  6.34954e-05
0.0234375  0.179688  0.998032  6.03486e-05
0.0234375  0.195312  0.998032  5.70166e-05
0.0234375  0.210938  0.998032  5.35263e-05
0.0234375  0.226562  0.998032  4.9907e-05
0.0234375  0.242188  0.998032  4.61901e-05
0.0234375  0.257812  0.998032  4.24091e-05
0.0234375  0.273438  0.998032  3.85993e-05
0.0234375  0.289062  0.998032  3.47978e-05
0.0234375  0.304688  0.998032  3.10429e-05
0.0234375  0.320312  0.998032  2.73738e-05
0.0234375  0.335938  0.998032  2.38302e-05
0.0234375  0.351562  0.998032  2.04517e-05
0.0234375  0.367188  0.998032  1.72775e-05
0.0234375  0.382812  0.998032  1.43451e-05
0.0234375  0.398438  0.998032  1.16906e-05
0.0234375  0.414062  0.998032  9.34726e-06
0.0234375  0.429688  0.998032  7.34503e-06
0.0234375  0.445312  0.998032  5.71013e-06
0.0234375  0.460938  0.998032  4.46426e-06
0.0234375  0.476562  0.998032  3.62415e-06
0.0234375  0.492188  0.998032  3.20122e-06
