# step = 140, time = 0.0786447, G_eff = 0, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.989833  0.000221148
0.0078125  0.0234375  0.990059  0.000219943
0.0078125  0.0390625  0.990402  0.00021758
0.0078125  0.0546875  0.990691  0.00021414
0.0078125  0.0703125  0.990772  0.000209701
0.0078125  0.0859375  0.99058  0.000204318
0.0078125  0.101562  0.990169  0.000198004
0.0078125  0.117188  0.989684  0.000190739
0.0078125  0.132812  0.989298  0.000182494
0.0078125  0.148438  0.989149  0.000173259
0.0078125  0.164062  0.989296  0.000163072
0.0078125  0.179688  0.989702  0.000152031
0.0078125  0.195312  0.99024  0.00014029
0.0078125  0.210938  0.990762  0.000128035
0.0078125  0.226562  0.991169  0.000115449
0.0078125  0.242188  0.991435  0.000102693
0.0078125  0.257812  0.991558  8.98939e-05
0.0078125  0.273438  0.99152  7.71551e-05
0.0078125  0.289062  0.991304  6.45522e-05
0.0078125  0.304688  0.990931  5.21346e-05
0.0078125  0.320312  0.990479  3.99283e-05
0.0078125  0.335938  0.99006  2.79475e-05
0.0078125  0.351562  0.989808  1.62103e-05
0.0078125  0.367188  0.98987  4.7562e-06
0.0078125  0.382812  0.990391  -6.3359e-06
0.0078125  0.398438  0.991462  -1.69276e-05
0.0078125  0.414062  0.993048  -2.68076e-05
0.0078125  0.429688  0.99495  -3.5698e-05
0.0078125  0.445312  0.996867  -4.32851e-05
0.0078125  0.460938  0.998507  -4.92667e-05
0.0078125  0.476562  0.999671  -5.33951e-05
0.0078125  0.492188  1.00027  -5.55012e-05
0.0078125  0.507812  1.00027  -5.55012e-05
0.0078125  0.523438  0.999671  -5.33951e-05
0.0078125  0.539062  0.998507  -4.92667e-05
0.0078125  0.554688  0.996867  -4.32851e-05
0.0078125  0.570312  0.99495  -3.5698e-05
0.0078125  0.585938  0.993048  -2.68076e-05
0.0078125  0.601562  0.991462  -1.69276e-05
0.0078125  0.617188  0.990391  -6.3359e-06
0.0078125  0.632812  0.98987  4.7562e-06
0.0078125  0.648438  0.989808  1.62103e-05
0.0078125  0.664062  0.99006  2.79475e-05
0.0078125  0.679688  0.990479  3.99283e-05
0.0078125  0.695312  0.990931  5.21346e-05
0.0078125  0.710938  0.991304  6.45522e-05
0.0078125  0.726562  0.99152  7.71551e-05
0.0078125  0.742188  0.991558  8.98939e-05
0.0078125  0.757812  0.991435  0.000102693
0.0078125  0.773438  0.991169  0.000115449
0.0078125  0.789062  0.990762  0.000128035
0.0078125  0.804688  0.99024  0.00014029
0.0078125  0.820312  0.989702  0.000152031
0.0078125  0.835938  0.989296  0.000163072
0.0078125  0.851562  0.989149  0.000173259
0.0078125  0.867188  0.989298  0.000182494
0.0078125  0.882812  0.989684  0.000190739
0.0078125  0.898438  0.990169  0.000198004
0.0078125  0.914062  0.99058  0.000204318
0.0078125  0.929688  0.990772  0.000209701
0.0078125  0.945312  0.990691  0.00021414
0.0078125  0.960938  0.990402  0.00021758
0.0078125  0.976562  0.990059  0.000219943
0.0078125  0.992188  0.989833  0.000221148

0.0234375  0.0078125  0.990059  0.000219943
0.0234375  0.0234375  0.990279  0.000218714
0.0234375  0.0390625  0.990611  0.000216304
0.0234375  0.0546875  0.990888  0.000212794
0.0234375  0.0703125  0.990958  0.000208265
0.0234375  0.0859375  0.990755  0.000202771
0.0234375  0.101562  0.99033  0.000196329
0.0234375  0.117188  0.989827  0.000188921
0.0234375  0.132812  0.989422  0.000180521
0.0234375  0.148438  0.989259  0.00017112
0.0234375  0.164062  0.989404  0.000160757
0.0234375  0.179688  0.989824  0.000149533
0.0234375  0.195312  0.990388  0.000137605
0.0234375  0.210938  0.990935  0.000125161
0.0234375  0.226562  0.991358  0.000112388
0.0234375  0.242188  0.991631  9.94457e-05
0.0234375  0.257812  0.99176  8.64637e-05
0.0234375  0.273438  0.991734  7.35445e-05
0.0234375  0.289062  0.991546  6.0766e-05
0.0234375  0.304688  0.99123  4.81803e-05
0.0234375  0.320312  0.990863  3.5819e-05
0.0234375  0.335938  0.990536  2.37047e-05
0.0234375  0.351562  0.990352  1.18645e-05
0.0234375  0.367188  0.990439  3.43554e-07
0.0234375  0.382812  0.99094  -1.07782e-05
0.0234375  0.398438  0.991956  -2.13665e-05
0.0234375  0.414062  0.993465  -3.12172e-05
0.0234375  0.429688  0.995277  -4.00604e-05
