# step = 0, time = 0
# r  rho_avg  count
0.0078125  1.4963  8
0.0234375  1.49618  24
0.0390625  1.49587  104
0.0546875  1.49531  144
0.0703125  1.49425  272
0.0859375  1.49228  360
0.101562  1.48838  560
0.117188  1.4809  704
0.132812  1.46712  936
0.148438  1.44247  1112
0.164062  1.40183  1392
0.179688  1.34159  1592
0.195312  1.2609  2120
0.210938  1.17586  2208
0.226562  1.10351  2792
0.242188  1.05191  2928
0.257812  1.02037  3416
0.273438  1.00188  3792
0.289062  0.991722  4304
0.304688  0.986254  4784
0.320312  0.983382  5472
0.335938  0.981905  5696
0.351562  0.981162  6384
0.367188  0.980775  6752
0.382812  0.980573  7896
0.398438  0.980468  8072
0.414062  0.980416  8888
0.429688  0.980389  9384
0.445312  0.980375  10112
0.460938  0.980368  10896
0.476562  0.980364  11696
0.492188  0.980362  12576
