# step = 225, time = 0.0225
# r  rho_avg  count
0.0078125  2.00421  8
0.0234375  1.995  24
0.0390625  1.97521  104
0.0546875  1.94915  144
0.0703125  1.91826  272
0.0859375  1.88371  360
0.101562  1.845  560
0.117188  1.80357  704
0.132812  1.76116  936
0.148438  1.71719  1112
0.164062  1.67301  1392
0.179688  1.62776  1592
0.195312  1.58001  2120
0.210938  1.5311  2208
0.226562  1.4825  2792
0.242188  1.4338  2928
0.257812  1.38749  3416
0.273438  1.3427  3792
0.289062  1.29624  4304
0.304688  1.25252  4784
0.320312  1.20789  5472
0.335938  1.16603  5696
0.351562  1.12859  6384
0.367188  1.09093  6752
0.382812  1.0591  7896
0.398438  1.02842  8072
0.414062  1.00217  8888
0.429688  0.978047  9384
0.445312  0.956714  10112
0.460938  0.938313  10896
0.476562  0.921211  11696
0.492188  0.906185  12576
