# step = 0, time = 0, G_eff = 5000, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.98036  0.000806914
0.0078125  0.0234375  0.98036  0.000803662
0.0078125  0.0390625  0.98036  0.000797178
0.0078125  0.0546875  0.98036  0.000787504
0.0078125  0.0703125  0.98036  0.000774704
0.0078125  0.0859375  0.98036  0.000758863
0.0078125  0.101562  0.98036  0.000740086
0.0078125  0.117188  0.98036  0.000718503
0.0078125  0.132812  0.98036  0.000694264
0.0078125  0.148438  0.98036  0.000667545
0.0078125  0.164062  0.98036  0.000638542
0.0078125  0.179688  0.98036  0.000607477
0.0078125  0.195312  0.98036  0.000574594
0.0078125  0.210938  0.98036  0.00054016
0.0078125  0.226562  0.98036  0.000504465
0.0078125  0.242188  0.98036  0.000467821
0.0078125  0.257812  0.980361  0.000430558
0.0078125  0.273438  0.980361  0.000393026
0.0078125  0.289062  0.980361  0.00035559
0.0078125  0.304688  0.980361  0.000318628
0.0078125  0.320312  0.980361  0.000282524
0.0078125  0.335938  0.980361  0.000247669
0.0078125  0.351562  0.980361  0.000214451
0.0078125  0.367188  0.980361  0.000183252
0.0078125  0.382812  0.980361  0.000154441
0.0078125  0.398438  0.980362  0.000128368
0.0078125  0.414062  0.980362  0.000105358
0.0078125  0.429688  0.980362  8.57022e-05
0.0078125  0.445312  0.980362  6.96561e-05
0.0078125  0.460938  0.980362  5.74303e-05
0.0078125  0.476562  0.980362  4.91873e-05
0.0078125  0.492188  0.980362  4.50379e-05
0.0078125  0.507812  0.980362  4.50379e-05
0.0078125  0.523438  0.980362  4.91873e-05
0.0078125  0.539062  0.980362  5.74303e-05
0.0078125  0.554688  0.980362  6.96561e-05
0.0078125  0.570312  0.980362  8.57022e-05
0.0078125  0.585938  0.980362  0.000105358
0.0078125  0.601562  0.980362  0.000128368
0.0078125  0.617188  0.980361  0.000154441
0.0078125  0.632812  0.980361  0.000183252
0.0078125  0.648438  0.980361  0.000214451
0.0078125  0.664062  0.980361  0.000247669
0.0078125  0.679688  0.980361  0.000282524
0.0078125  0.695312  0.980361  0.000318628
0.0078125  0.710938  0.980361  0.00035559
0.0078125  0.726562  0.980361  0.000393026
0.0078125  0.742188  0.980361  0.000430558
0.0078125  0.757812  0.98036  0.000467821
0.0078125  0.773438  0.98036  0.000504465
0.0078125  0.789062  0.98036  0.00054016
0.0078125  0.804688  0.98036  0.000574594
0.0078125  0.820312  0.98036  0.000607477
0.0078125  0.835938  0.98036  0.000638542
0.0078125  0.851562  0.98036  0.000667545
0.0078125  0.867188  0.98036  0.000694264
0.0078125  0.882812  0.98036  0.000718503
0.0078125  0.898438  0.98036  0.000740086
0.0078125  0.914062  0.98036  0.000758863
0.0078125  0.929688  0.98036  0.000774704
0.0078125  0.945312  0.98036  0.000787504
0.0078125  0.960938  0.98036  0.000797178
0.0078125  0.976562  0.98036  0.000803662
0.0078125  0.992188  0.98036  0.000806914

0.0234375  0.0078125  0.98036  0.000803662
0.0234375  0.0234375  0.98036  0.000800379
0.0234375  0.0390625  0.98036  0.000793835
0.0234375  0.0546875  0.98036  0.000784071
0.0234375  0.0703125  0.98036  0.000771151
0.0234375  0.0859375  0.98036  0.000755158
0.0234375  0.101562  0.98036  0.000736199
0.0234375  0.117188  0.98036  0.000714402
0.0234375  0.132812  0.98036  0.000689919
0.0234375  0.148438  0.98036  0.000662924
0.0234375  0.164062  0.98036  0.000633615
0.0234375  0.179688  0.98036  0.000602213
0.0234375  0.195312  0.98036  0.000568963
0.0234375  0.210938  0.98036  0.000534134
0.0234375  0.226562  0.98036  0.000498017
0.0234375  0.242188  0.980361  0.000460926
0.0234375  0.257812  0.980361  0.000423196
0.0234375  0.273438  0.980361  0.000385179
