# step = 75, time = 0.0075, G_eff = 5000, N = 64, iz = 32
# x  y  rho  V
0.0078125  0.0078125  0.957625  0.00104601
0.0078125  0.0234375  0.960106  0.00103962
0.0078125  0.0390625  0.964843  0.00102719
0.0078125  0.0546875  0.971407  0.00100933
0.0078125  0.0703125  0.979141  0.000986907
0.0078125  0.0859375  0.98714  0.000960966
0.0078125  0.101562  0.99423  0.000932582
0.0078125  0.117188  0.999101  0.000902717
0.0078125  0.132812  1.00074  0.000872045
0.0078125  0.148438  0.998896  0.000840829
0.0078125  0.164062  0.994254  0.000808919
0.0078125  0.179688  0.988231  0.000775895
0.0078125  0.195312  0.982269  0.000741301
0.0078125  0.210938  0.97715  0.000704848
0.0078125  0.226562  0.973015  0.000666491
0.0078125  0.242188  0.969781  0.000626413
0.0078125  0.257812  0.96723  0.000585005
0.0078125  0.273438  0.964829  0.0005428
0.0078125  0.289062  0.961902  0.000500359
0.0078125  0.304688  0.958123  0.000458141
0.0078125  0.320312  0.953753  0.000416473
0.0078125  0.335938  0.949439  0.000375614
0.0078125  0.351562  0.94589  0.00033587
0.0078125  0.367188  0.9436  0.000297687
0.0078125  0.382812  0.942524  0.000261691
0.0078125  0.398438  0.941914  0.000228646
0.0078125  0.414062  0.94083  0.000199299
0.0078125  0.429688  0.939034  0.000174201
0.0078125  0.445312  0.93722  0.000153652
0.0078125  0.460938  0.936208  0.000137841
0.0078125  0.476562  0.936089  0.000127017
0.0078125  0.492188  0.936295  0.000121491
0.0078125  0.507812  0.936295  0.000121491
0.0078125  0.523438  0.936089  0.000127017
0.0078125  0.539062  0.936208  0.000137841
0.0078125  0.554688  0.93722  0.000153652
0.0078125  0.570312  0.939034  0.000174201
0.0078125  0.585938  0.94083  0.000199299
0.0078125  0.601562  0.941914  0.000228646
0.0078125  0.617188  0.942524  0.000261691
0.0078125  0.632812  0.9436  0.000297687
0.0078125  0.648438  0.94589  0.00033587
0.0078125  0.664062  0.949439  0.000375614
0.0078125  0.679688  0.953753  0.000416473
0.0078125  0.695312  0.958123  0.000458141
0.0078125  0.710938  0.961902  0.000500359
0.0078125  0.726562  0.964829  0.0005428
0.0078125  0.742188  0.96723  0.000585005
0.0078125  0.757812  0.969781  0.000626413
0.0078125  0.773438  0.973015  0.000666491
0.0078125  0.789062  0.97715  0.000704848
0.0078125  0.804688  0.982269  0.000741301
0.0078125  0.820312  0.988231  0.000775895
0.0078125  0.835938  0.994254  0.000808919
0.0078125  0.851562  0.998896  0.000840829
0.0078125  0.867188  1.00074  0.000872045
0.0078125  0.882812  0.999101  0.000902717
0.0078125  0.898438  0.99423  0.000932582
0.0078125  0.914062  0.98714  0.000960966
0.0078125  0.929688  0.979141  0.000986907
0.0078125  0.945312  0.971407  0.00100933
0.0078125  0.960938  0.964843  0.00102719
0.0078125  0.976562  0.960106  0.00103962
0.0078125  0.992188  0.957625  0.00104601

0.0234375  0.0078125  0.960106  0.00103962
0.0234375  0.0234375  0.962459  0.0010335
0.0234375  0.0390625  0.966856  0.00102157
0.0234375  0.0546875  0.972741  0.00100444
0.0234375  0.0703125  0.979382  0.00098292
0.0234375  0.0859375  0.985939  0.000957911
0.0234375  0.101562  0.991502  0.000930328
0.0234375  0.117188  0.995181  0.00090096
0.0234375  0.132812  0.99634  0.000870355
0.0234375  0.148438  0.994849  0.000838746
0.0234375  0.164062  0.991194  0.000806053
0.0234375  0.179688  0.986359  0.000771984
0.0234375  0.195312  0.981399  0.000736204
0.0234375  0.210938  0.976972  0.000698501
0.0234375  0.226562  0.973271  0.000658862
0.0234375  0.242188  0.970241  0.000617481
0.0234375  0.257812  0.967659  0.000574741
0.0234375  0.273438  0.965079  0.000531152
0.0234375  0.289062  0.962004  0.00048725
0.0234375  0.304688  0.95823  0.000443506
0.0234375  0.320312  0.954  0.000400287
0.0234375  0.335938  0.949863  0.000357914
0.0234375  0.351562  0.946427  0.000316747
0.0234375  0.367188  0.944115  0.000277263
0.0234375  0.382812  0.942895  0.000240091
0.0234375  0.398438  0.942155  0.000205974
0.0234375  0.414062  0.941124  0.000175639
0.0234375  0.429688  0.939587  0.000149648
0.0234375  0.445312  0.938071  0.00012835
0.0234375  0.460938  0.937209  0.000111985
0.0234375  0.476562  0.937068  0.000100814
0.0234375  0.492188  0.937204  9.51287e-05
0.0234375  0.507812  0.937204  9.51287e-05
0.0234375  0.523438  0.937068  0.000100814
0.0234375  0.539062  0.937209  0.000111985
0.0234375  0.554688  0.938071  0.00012835
0.0234375  0.570312  0.939587  0.000149648
0.0234375  0.585938  0.941124  0.000175639
0.0234375  0.601562  0.942155  0.000205974
0.0234375  0.617188  0.942895  0.000240091
0.0234375  0.632812  0.944115  0.000277263
0.0234375  0.648438  0.946427  0.000316747
0.0234375  0.664062  0.949863  0.000357914
0.0234375  0.679688  0.954  0.000400287
0.0234375  0.695312  0.95823  0.000443506
0.0234375  0.710938  0.962004  0.00048725
0.0234375  0.726562  0.965079  0.000531152
0.0234375  0.742188  0.967659  0.000574741
0.0234375  0.757812  0.970241  0.000617481
0.0234375  0.773438  0.973271  0.000658862
0.0234375  0.789062  0.976972  0.000698501
0.0234375  0.804688  0.981399  0.000736204
0.0234375  0.820312  0.986359  0.000771984
0.0234375  0.835938  0.991194  0.000806053
0.0234375  0.851562  0.994849  0.000838746
0.0234375  0.867188  0.99634  0.000870355
0.0234375  0.882812  0.995181  0.00090096
0.0234375  0.898438  0.991502  0.000930328
0.0234375  0.914062  0.985939  0.000957911
0.0234375  0.929688  0.979382  0.00098292
0.0234375  0.945312  0.972741  0.00100444
0.0234375  0.960938  0.966856  0.00102157
0.0234375  0.976562  0.962459  0.0010335
0.0234375  0.992188  0.960106  0.00103962

0.0390625  0.0078125  0.964843  0.00102719
0.0390625  0.0234375  0.966856  0.00102157
0.0390625  0.0390625  0.970469  0.00101063
0.0390625  0.0546875  0.974982  0.000994893
0.0390625  0.0703125  0.979601  0.000975006
0.0390625  0.0859375  0.983638  0.000951654
0.0390625  0.101562  0.986631  0.000925452
0.0390625  0.117188  0.988347  0.000896893
0.0390625  0.132812  0.988718  0.000866326
0.0390625  0.148438  0.987784  0.000833939
0.0390625  0.164062  0.985691  0.000799775
0.0390625  0.179688  0.982735  0.000763756
0.0390625  0.195312  0.979357  0.000725753
0.0390625  0.210938  0.976015  0.00068568
0.0390625  0.226562  0.972987  0.000643579
0.0390625  0.242188  0.970277  0.000599659
0.0390625  0.257812  0.967677  0.000554285
0.0390625  0.273438  0.964913  0.000507925
0.0390625  0.289062  0.961786  0.000461086
0.0390625  0.304688  0.958271  0.000414262
0.0390625  0.320312  0.954555  0.000367913
0.0390625  0.335938  0.950989  0.000322483
0.0390625  0.351562  0.947981  0.000278437
0.0390625  0.367188  0.945824  0.000236317
0.0390625  0.382812  0.944512  0.000196761
0.0390625  0.398438  0.943676  0.000160477
0.0390625  0.414062  0.94285  0.00012816
0.0390625  0.429688  0.941864  0.000100393
0.0390625  0.445312  0.940946  7.7611e-05
0.0390625  0.460938  0.94039  6.01454e-05
0.0390625  0.476562  0.940228  4.82851e-05
0.0390625  0.492188  0.940246  4.22792e-05
0.0390625  0.507812  0.940246  4.22792e-05
0.0390625  0.523438  0.940228  4.82851e-05
0.0390625  0.539062  0.94039  6.01454e-05
0.0390625  0.554688  0.940946  7.7611e-05
0.0390625  0.570312  0.941864  0.000100393
0.0390625  0.585938  0.94285  0.00012816
0.0390625  0.601562  0.943676  0.000160477
0.0390625  0.617188  0.944512  0.000196761
0.0390625  0.632812  0.945824  0.000236317
0.0390625  0.648438  0.947981  0.000278437
0.0390625  0.664062  0.950989  0.000322483
0.0390625  0.679688  0.954555  0.000367913
0.0390625  0.695312  0.958271  0.000414262
0.0390625  0.710938  0.961786  0.000461086
0.0390625  0.726562  0.964913  0.000507925
0.0390625  0.742188  0.967677  0.000554285
0.0390625  0.757812  0.970277  0.000599659
0.0390625  0.773438  0.972987  0.000643579
0.0390625  0.789062  0.976015  0.00068568
0.0390625  0.804688  0.979357  0.000725753
0.0390625  0.820312  0.982735  0.000763756
0.0390625  0.835938  0.985691  0.000799775
0.0390625  0.851562  0.987784  0.000833939
0.0390625  0.867188  0.988718  0.000866326
0.0390625  0.882812  0.988347  0.000896893
0.0390625  0.898438  0.986631  0.000925452
0.0390625  0.914062  0.983638  0.000951654
0.0390625  0.929688  0.979601  0.000975006
0.0390625  0.945312  0.974982  0.000994893
0.0390625  0.960938  0.970469  0.00101063
0.0390625  0.976562  0.966856  0.00102157
0.0390625  0.992188  0.964843  0.00102719

0.0546875  0.0078125  0.971407  0.00100933
0.0546875  0.0234375  0.972741  0.00100444
0.0546875  0.0390625  0.974982  0.000994893
0.0546875  0.0546875  0.977431  0.000981026
0.0546875  0.0703125  0.979387  0.000963251
0.0546875  0.0859375  0.980423  0.000941927
0.0546875  0.101562  0.980561  0.000917311
0.0546875  0.117188  0.980187  0.000889574
0.0546875  0.132812  0.979724  0.000858855
0.0546875  0.148438  0.979319  0.000825313
0.0546875  0.164062  0.978755  0.000789127
0.0546875  0.179688  0.977644  0.00075046
0.0546875  0.195312  0.975819  0.000709411
0.0546875  0.210938  0.973528  0.000666041
0.0546875  0.226562  0.971132  0.00062045
0.0546875  0.242188  0.968723  0.000572857
0.0546875  0.257812  0.966186  0.000523598
0.0546875  0.273438  0.963485  0.000473091
0.0546875  0.289062  0.960742  0.000421829
0.0546875  0.304688  0.958073  0.000370369
0.0546875  0.320312  0.955532  0.000319312
