# step = 0, a = 0.0196078, z = 50
# x  y  rho  log2rho
0.0078125  0.0078125  0.923718  0.65426
0.0078125  0.0234375  0.911318  0.647793
0.0078125  0.0390625  0.888674  0.635875
0.0078125  0.0546875  0.896415  0.639965
0.0078125  0.0703125  0.898835  0.641241
0.0078125  0.0859375  0.930175  0.657611
0.0078125  0.101562  0.930907  0.65799
0.0078125  0.117188  0.980257  0.683227
0.0078125  0.132812  1.02724  0.706676
0.0078125  0.148438  1.03622  0.711098
0.0078125  0.164062  1.01406  0.700154
0.0078125  0.179688  1.0105  0.698384
0.0078125  0.195312  0.98349  0.684858
0.0078125  0.210938  0.940645  0.66302
0.0078125  0.226562  1.01134  0.698801
0.0078125  0.242188  1.06316  0.724241
0.0078125  0.257812  1.02858  0.707335
0.0078125  0.273438  1.06602  0.725622
0.0078125  0.289062  1.04343  0.714632
0.0078125  0.304688  1.082  0.733329
0.0078125  0.320312  1.10094  0.742383
0.0078125  0.335938  1.05696  0.72123
0.0078125  0.351562  1.04213  0.713993
0.0078125  0.367188  1.02275  0.70446
0.0078125  0.382812  1.01427  0.700258
0.0078125  0.398438  1.01955  0.702876
0.0078125  0.414062  0.991145  0.68871
0.0078125  0.429688  0.946992  0.666285
0.0078125  0.445312  0.964814  0.675398
0.0078125  0.460938  0.994042  0.690164
0.0078125  0.476562  1.0148  0.70052
0.0078125  0.492188  1.04273  0.714288
0.0078125  0.507812  1.0396  0.712755
0.0078125  0.523438  0.958467  0.672162
0.0078125  0.539062  0.885441  0.634162
0.0078125  0.554688  0.833442  0.606195
0.0078125  0.570312  0.872276  0.627155
0.0078125  0.585938  0.938313  0.661818
0.0078125  0.601562  0.927158  0.656047
0.0078125  0.617188  0.940056  0.662717
0.0078125  0.632812  0.88369  0.633233
0.0078125  0.648438  0.874659  0.628427
0.0078125  0.664062  0.940504  0.662948
0.0078125  0.679688  0.975402  0.680772
0.0078125  0.695312  0.873127  0.627609
0.0078125  0.710938  0.965731  0.675864
0.0078125  0.726562  0.922881  0.653824
0.0078125  0.742188  0.910173  0.647194
0.0078125  0.757812  0.960154  0.673023
0.0078125  0.773438  0.925137  0.654997
0.0078125  0.789062  0.937414  0.661354
0.0078125  0.804688  0.950751  0.668214
0.0078125  0.820312  0.961593  0.673757
0.0078125  0.835938  0.995515  0.690902
0.0078125  0.851562  0.955782  0.67079
0.0078125  0.867188  0.898866  0.641257
0.0078125  0.882812  0.937791  0.661548
0.0078125  0.898438  0.864103  0.62278
0.0078125  0.914062  0.862955  0.622164
0.0078125  0.929688  0.855058  0.617916
0.0078125  0.945312  0.922449  0.6536
0.0078125  0.960938  0.883591  0.63318
0.0078125  0.976562  0.953258  0.669499
0.0078125  0.992188  0.9288  0.656898

0.0234375  0.0078125  0.858049  0.619527
0.0234375  0.0234375  0.81384  0.595446
0.0234375  0.0390625  0.887524  0.635266
0.0234375  0.0546875  0.851554  0.616025
0.0234375  0.0703125  0.880855  0.631726
0.0234375  0.0859375  0.980243  0.68322
0.0234375  0.101562  0.965318  0.675654
0.0234375  0.117188  1.00641  0.696345
0.0234375  0.132812  1.04995  0.717818
0.0234375  0.148438  1.03196  0.709
0.0234375  0.164062  0.993784  0.690034
0.0234375  0.179688  0.98868  0.687471
0.0234375  0.195312  1.01029  0.69828
0.0234375  0.210938  0.966993  0.676506
0.0234375  0.226562  1.01765  0.701934
0.0234375  0.242188  1.00367  0.69498
0.0234375  0.257812  0.991773  0.689025
0.0234375  0.273438  1.07182  0.728429
0.0234375  0.289062  1.13658  0.759206
0.0234375  0.304688  1.10675  0.745146
0.0234375  0.320312  1.16671  0.773208
0.0234375  0.335938  1.17319  0.776196
0.0234375  0.351562  1.10738  0.745446
0.0234375  0.367188  1.04578  0.715782
0.0234375  0.382812  1.09211  0.738172
0.0234375  0.398438  1.06177  0.723563
0.0234375  0.414062  0.985695  0.685969
0.0234375  0.429688  1.02214  0.704155
0.0234375  0.445312  1.01687  0.701547
0.0234375  0.460938  0.971268  0.678677
0.0234375  0.476562  1.04046  0.713174
0.0234375  0.492188  1.04261  0.714227
0.0234375  0.507812  1.01925  0.702724
0.0234375  0.523438  1.01937  0.702788
0.0234375  0.539062  1.00103  0.693663
0.0234375  0.554688  0.842373  0.611054
0.0234375  0.570312  0.815838  0.596547
0.0234375  0.585938  0.906572  0.645307
0.0234375  0.601562  0.889863  0.636504
0.0234375  0.617188  0.868364  0.625063
0.0234375  0.632812  0.852623  0.616603
0.0234375  0.648438  0.884766  0.633804
0.0234375  0.664062  0.938274  0.661798
0.0234375  0.679688  0.856466  0.618675
0.0234375  0.695312  0.857911  0.619453
0.0234375  0.710938  0.893006  0.638166
0.0234375  0.726562  0.910465  0.647347
0.0234375  0.742188  0.886769  0.634866
0.0234375  0.757812  0.975568  0.680856
0.0234375  0.773438  0.985499  0.68587
0.0234375  0.789062  0.942681  0.664069
0.0234375  0.804688  0.952366  0.669042
0.0234375  0.820312  0.941787  0.663609
0.0234375  0.835938  0.965875  0.675938
0.0234375  0.851562  0.940724  0.663061
0.0234375  0.867188  0.921565  0.65314
0.0234375  0.882812  0.948004  0.666805
0.0234375  0.898438  0.931813  0.658459
0.0234375  0.914062  0.901314  0.642545
0.0234375  0.929688  0.92528  0.655071
0.0234375  0.945312  0.906423  0.645229
0.0234375  0.960938  0.881927  0.632296
0.0234375  0.976562  0.886226  0.634578
0.0234375  0.992188  0.872176  0.627101

0.0390625  0.0078125  0.826997  0.602674
0.0390625  0.0234375  0.891279  0.637253
0.0390625  0.0390625  0.961727  0.673825
0.0390625  0.0546875  0.92343  0.65411
