# step = 360, a = 0.674906, z = 0.481689
# x  y  rho  log2rho
0.0078125  0.0078125  0.604609  0.47288
0.0078125  0.0234375  0.556388  0.442368
0.0078125  0.0390625  0.624717  0.485333
0.0078125  0.0546875  0.713246  0.53839
0.0078125  0.0703125  0.693782  0.526964
0.0078125  0.0859375  0.710312  0.536676
0.0078125  0.101562  0.678977  0.518185
0.0078125  0.117188  0.6797  0.518615
0.0078125  0.132812  0.772166  0.572202
0.0078125  0.148438  1.1548  0.767698
0.0078125  0.164062  1.39863  0.874899
0.0078125  0.179688  1.37983  0.867027
0.0078125  0.195312  1.13235  0.757227
0.0078125  0.210938  0.784329  0.579042
0.0078125  0.226562  0.888519  0.635793
0.0078125  0.242188  1.0101  0.698185
0.0078125  0.257812  1.14836  0.764706
0.0078125  0.273438  1.20531  0.790869
0.0078125  0.289062  1.4913  0.912803
0.0078125  0.304688  1.71348  0.998231
0.0078125  0.320312  2.69023  1.30569
0.0078125  0.335938  1.14359  0.762483
0.0078125  0.351562  1.06187  0.723613
0.0078125  0.367188  1.04132  0.713598
0.0078125  0.382812  0.953329  0.669535
0.0078125  0.398438  0.915327  0.649888
0.0078125  0.414062  0.890393  0.636785
0.0078125  0.429688  0.872979  0.62753
0.0078125  0.445312  0.865454  0.623505
0.0078125  0.460938  0.825406  0.601802
0.0078125  0.476562  0.765448  0.568405
0.0078125  0.492188  0.72899  0.547537
0.0078125  0.507812  0.746798  0.557784
0.0078125  0.523438  0.686789  0.522827
0.0078125  0.539062  0.644102  0.497194
0.0078125  0.554688  0.673303  0.514799
0.0078125  0.570312  0.7607  0.565711
0.0078125  0.585938  0.897924  0.640761
0.0078125  0.601562  1.05052  0.718094
0.0078125  0.617188  0.990829  0.688551
0.0078125  0.632812  0.850583  0.615501
0.0078125  0.648438  0.667121  0.511098
0.0078125  0.664062  0.534265  0.428051
0.0078125  0.679688  0.395008  0.3329
0.0078125  0.695312  0.252858  0.225428
0.0078125  0.710938  0.204707  0.186236
0.0078125  0.726562  0.20762  0.188652
0.0078125  0.742188  0.355428  0.304117
0.0078125  0.757812  0.450595  0.371974
0.0078125  0.773438  0.575862  0.454803
0.0078125  0.789062  0.710983  0.537068
0.0078125  0.804688  0.744026  0.556196
0.0078125  0.820312  0.945074  0.6653
0.0078125  0.835938  1.11124  0.747274
0.0078125  0.851562  0.681581  0.519734
0.0078125  0.867188  0.508232  0.410938
0.0078125  0.882812  0.320525  0.27803
0.0078125  0.898438  0.295739  0.259082
0.0078125  0.914062  0.376131  0.319276
0.0078125  0.929688  0.515738  0.415902
0.0078125  0.945312  0.544404  0.434638
