# step = 400, a = 1, z = -1.64313e-14
# x  y  rho  log2rho
0.0078125  0.0078125  0.584395  0.460203
0.0078125  0.0234375  0.512185  0.413556
0.0078125  0.0390625  0.563326  0.446816
0.0078125  0.0546875  0.671934  0.513981
0.0078125  0.0703125  0.668942  0.51219
0.0078125  0.0859375  0.706943  0.534704
0.0078125  0.101562  0.705649  0.533946
0.0078125  0.117188  0.717685  0.540978
0.0078125  0.132812  0.763606  0.56736
0.0078125  0.148438  1.10466  0.744155
0.0078125  0.164062  1.38011  0.867148
0.0078125  0.179688  1.41361  0.881124
0.0078125  0.195312  1.15575  0.76814
0.0078125  0.210938  0.840841  0.610222
0.0078125  0.226562  0.913218  0.648787
0.0078125  0.242188  0.97978  0.682986
0.0078125  0.257812  1.15953  0.769889
0.0078125  0.273438  1.18744  0.782733
0.0078125  0.289062  1.48385  0.90981
0.0078125  0.304688  1.7327  1.00529
0.0078125  0.320312  2.58173  1.27584
0.0078125  0.335938  1.22384  0.799234
0.0078125  0.351562  1.08044  0.732582
0.0078125  0.367188  1.01188  0.699067
0.0078125  0.382812  0.942892  0.664177
0.0078125  0.398438  0.90845  0.646291
0.0078125  0.414062  0.88473  0.633785
0.0078125  0.429688  0.855692  0.618257
0.0078125  0.445312  0.860996  0.621112
0.0078125  0.460938  0.83657  0.6079
0.0078125  0.476562  0.775023  0.573814
0.0078125  0.492188  0.747189  0.558008
0.0078125  0.507812  0.773154  0.57276
0.0078125  0.523438  0.716146  0.540081
0.0078125  0.539062  0.628413  0.487606
0.0078125  0.554688  0.622876  0.4842
0.0078125  0.570312  0.721445  0.543164
0.0078125  0.585938  0.862601  0.621974
0.0078125  0.601562  1.06095  0.723167
0.0078125  0.617188  1.06515  0.725203
0.0078125  0.632812  0.892399  0.637846
0.0078125  0.648438  0.710177  0.536597
0.0078125  0.664062  0.551476  0.439207
0.0078125  0.679688  0.402883  0.338529
0.0078125  0.695312  0.256288  0.228162
0.0078125  0.710938  0.20263  0.184511
0.0078125  0.726562  0.221032  0.199696
0.0078125  0.742188  0.368676  0.313844
0.0078125  0.757812  0.441229  0.365496
0.0078125  0.773438  0.582114  0.458762
0.0078125  0.789062  0.727498  0.546674
0.0078125  0.804688  0.711964  0.537641
0.0078125  0.820312  0.920071  0.652362
0.0078125  0.835938  1.07741  0.731123
0.0078125  0.851562  0.655117  0.503872
0.0078125  0.867188  0.507944  0.410747
0.0078125  0.882812  0.296233  0.259463
0.0078125  0.898438  0.271054  0.239847
0.0078125  0.914062  0.406631  0.341198
0.0078125  0.929688  0.496963  0.403439
0.0078125  0.945312  0.541278  0.432612
0.0078125  0.960938  0.611614  0.477236
