# step = 0, a = 0.0196078, z = 50
# x  y  rho  vx_current  vy_current  vx_phase  vy_phase
0.0078125  0.0078125  0.904352  -0.00250745  0.00287942  -0.00269285  0.00293242
0.0078125  0.0234375  0.81217  -0.00280461  0.00347668  -0.0028357  0.00357587
0.0078125  0.0390625  0.814869  -0.00220204  0.00390892  -0.00220232  0.00420782
0.0078125  0.0546875  0.818765  -0.0017128  0.00446625  -0.00168772  0.00475298
0.0078125  0.0703125  0.928648  -0.00118584  0.00428025  -0.00120267  0.00490401
0.0078125  0.0859375  0.912023  -0.000800305  0.00432015  -0.000813441  0.00475261
0.0078125  0.101562  0.889027  -0.000761024  0.00462899  -0.000772458  0.00491584
0.0078125  0.117188  1.01492  -0.000508139  0.00449134  -0.000538523  0.00507338
0.0078125  0.132812  1.08841  -0.000177713  0.00429558  -0.000184092  0.00473047
0.0078125  0.148438  1.15982  -7.40504e-05  0.00350054  -7.11883e-05  0.00396981
0.0078125  0.164062  0.965923  -0.000113129  0.0035808  -0.000114286  0.00361599
0.0078125  0.179688  0.961096  -1.90714e-05  0.00350834  -2.0202e-05  0.00380821
0.0078125  0.195312  0.875275  -0.000201195  0.00378378  -0.000192983  0.00404017
0.0078125  0.210938  0.805516  -0.000555525  0.00444785  -0.000501441  0.00460467
0.0078125  0.226562  0.920654  -0.000809355  0.00453902  -0.000781858  0.00493715
0.0078125  0.242188  1.11651  -0.00100779  0.0036876  -0.00105004  0.00423683
0.0078125  0.257812  1.08443  -0.000645689  0.00296219  -0.000648493  0.00315522
0.0078125  0.273438  0.949495  0.000209017  0.00257122  0.00020012  0.00253349
0.0078125  0.289062  0.972898  0.00090034  0.00215012  0.000882321  0.00216955
0.0078125  0.304688  1.04809  0.00125037  0.00143223  0.00124848  0.00147047
0.0078125  0.320312  1.11307  0.00139802  0.000152795  0.00141902  0.00016216
0.0078125  0.335938  1.07049  0.00161542  -0.00135529  0.00159584  -0.00135176
0.0078125  0.351562  1.10349  0.0015893  -0.00249896  0.0015622  -0.00275243
0.0078125  0.367188  0.924802  0.00145788  -0.00346205  0.0014408  -0.00347359
0.0078125  0.382812  0.930498  0.00180673  -0.00357862  0.00174392  -0.00363361
0.0078125  0.398438  1.08636  0.00223834  -0.00380342  0.00224128  -0.00429934
0.0078125  0.414062  1.0534  0.00226975  -0.00460774  0.00223995  -0.00527496
0.0078125  0.429688  0.960103  0.0024264  -0.00511031  0.00241757  -0.00589662
0.0078125  0.445312  0.885626  0.0029325  -0.00509962  0.00292864  -0.00598138
0.0078125  0.460938  0.781097  0.00289461  -0.00515581  0.00307026  -0.00537815
0.0078125  0.476562  0.959077  0.00263473  -0.00441518  0.00286853  -0.00511214
0.0078125  0.492188  0.99835  0.00290996  -0.00498288  0.00314871  -0.00575427
0.0078125  0.507812  1.02148  0.00256189  -0.00527032  0.00293456  -0.00649447
