# step = 80, a = 0.0430471, z = 22.2304
# x  y  rho  vx_current  vy_current  vx_phase  vy_phase
0.0078125  0.0078125  0.712578  -0.00451922  0.0052708  -0.00481777  0.0059274
0.0078125  0.0234375  0.685556  -0.00417567  0.00540784  -0.0044733  0.00685258
0.0078125  0.0390625  0.572872  -0.00407188  0.00618759  -0.00410721  0.00765731
0.0078125  0.0546875  0.561283  -0.00362368  0.00628469  -0.00347733  0.00823239
0.0078125  0.0703125  0.603119  -0.00280249  0.0062985  -0.00263897  0.00876746
0.0078125  0.0859375  0.659928  -0.00219817  0.00602451  -0.00201788  0.00929481
0.0078125  0.101562  0.584065  -0.00157019  0.00666578  -0.00141131  0.00930056
0.0078125  0.117188  0.625991  -0.000971717  0.0064857  -0.000916511  0.00908819
0.0078125  0.132812  0.735906  -0.000818349  0.00651878  -0.000775003  0.00896451
0.0078125  0.148438  0.965375  -0.000515952  0.00575406  -0.000517403  0.00853862
0.0078125  0.164062  0.928251  -0.000289422  0.0059131  -0.000321747  0.00798704
0.0078125  0.179688  0.800693  -0.000310336  0.0063343  -0.000329452  0.00778402
0.0078125  0.195312  0.85616  -0.000354261  0.00582773  -0.000356972  0.008016
0.0078125  0.210938  0.775553  -0.00020182  0.00653763  -0.000196078  0.00881388
0.0078125  0.226562  0.838578  -0.00102865  0.00639644  -0.00100859  0.00914359
0.0078125  0.242188  0.941461  -0.00202201  0.00605299  -0.00184356  0.00858165
0.0078125  0.257812  0.945161  -0.00172807  0.0061317  -0.00156539  0.0076419
0.0078125  0.273438  1.0931  -0.000830531  0.00515713  -0.000799125  0.0063478
0.0078125  0.289062  1.11902  0.000404154  0.00431394  0.00039457  0.00468364
0.0078125  0.304688  1.27485  0.0017666  0.00255664  0.00173481  0.00268421
0.0078125  0.320312  1.57598  0.00270722  -2.3045e-06  0.00266136  5.2597e-05
0.0078125  0.335938  1.45606  0.00326892  -0.00280584  0.00310922  -0.00348783
0.0078125  0.351562  1.01408  0.00341442  -0.00552748  0.00324833  -0.00608023
0.0078125  0.367188  0.925997  0.00393656  -0.00628641  0.0038117  -0.00787552
0.0078125  0.382812  1.05693  0.00422771  -0.00621073  0.00425637  -0.00946734
0.0078125  0.398438  1.09486  0.00414576  -0.00606582  0.00451114  0.00965994
0.0078125  0.414062  0.931268  0.00417974  -0.00595416  0.00473211  0.00905194
0.0078125  0.429688  0.594397  0.00456159  -0.00678853  0.00461438  0.00883545
0.0078125  0.445312  0.489915  0.00414799  -0.00665254  0.00417957  0.0092201
0.0078125  0.460938  0.49243  0.00457957  -0.00700995  0.0045282  0.00934784
0.0078125  0.476562  0.722899  0.00447905  -0.00587308  0.00495498  0.00895341
0.0078125  0.492188  0.778246  0.00426672  -0.00586552  0.00499858  0.00832288
0.0078125  0.507812  0.697064  0.00456741  -0.00586642  0.00541848  0.0083807
0.0078125  0.523438  0.511847  0.00433743  -0.00673787  0.00455218  0.00958795
0.0078125  0.539062  0.464959  0.0035258  -0.00702813  0.00350774  -0.00967572
0.0078125  0.554688  0.618779  0.00235607  -0.00607031  0.00246134  -0.0085195
0.0078125  0.570312  0.764557  0.00189392  -0.00538743  0.00214066  -0.00687126
0.0078125  0.585938  0.827073  0.00124513  -0.00521007  0.00134524  -0.00626472
0.0078125  0.601562  0.827978  0.000584603  -0.00486726  0.000653865  -0.00618968
0.0078125  0.617188  0.591608  0.000259113  -0.00486198  0.000262498  -0.00494009
0.0078125  0.632812  0.580797  -0.000165485  -0.00337181  -0.000167533  -0.00341364
0.0078125  0.648438  0.6782  -0.00089302  -0.00198941  -0.000853739  -0.00206347
0.0078125  0.664062  0.867784  -0.00129837  -0.00127397  -0.00127225  -0.00136462
0.0078125  0.679688  0.848813  -0.00170104  -0.00129568  -0.00167722  -0.00131324
0.0078125  0.695312  0.80169  -0.00181475  -0.000702285  -0.00189478  -0.000697331
0.0078125  0.710938  0.6951  -0.00138042  0.000242391  -0.001305  0.000229631
0.0078125  0.726562  0.786986  -0.000642413  0.000904488  -0.000621364  0.000969302
0.0078125  0.742188  0.689738  -7.33988e-05  0.00111779  -4.21215e-05  0.00113181
0.0078125  0.757812  0.562484  0.0001939  0.00153198  0.00016317  0.00142313
0.0078125  0.773438  0.651288  0.000224393  0.00142075  0.00022035  0.00147688
0.0078125  0.789062  0.703585  -0.00041209  0.00140283  -0.000406519  0.00137319
0.0078125  0.804688  0.8185  -0.00120604  0.00150441  -0.00118132  0.00147298
0.0078125  0.820312  1.09121  -0.00207546  0.000590807  -0.00211342  0.000685047
0.0078125  0.835938  1.03197  -0.00243102  -0.000474933  -0.00246801  -0.00052842
