# step = 400, a = 1, z = -1.64313e-14
# x  y  rho  vx_current  vy_current  vx_phase  vy_phase
0.0078125  0.0078125  0.799807  -0.0040502  -0.00293115  0.00646486  -0.00340836
0.0078125  0.0234375  0.750566  -0.00306745  0.00268086  0.00677676  0.00352549
0.0078125  0.0390625  0.599512  -0.00191232  0.00602028  -0.00934277  0.0096658
0.0078125  0.0546875  0.605842  -0.000918358  0.00413518  -0.00405018  -0.00490155
0.0078125  0.0703125  0.654442  -0.000807656  -0.000199199  0.000758239  0.000133422
0.0078125  0.0859375  0.686706  -0.000684434  -0.00273198  0.00461118  0.00294335
0.0078125  0.101562  0.621104  0.000414606  -0.00449597  0.0087479  0.00493035
0.0078125  0.117188  0.676244  0.00243222  -0.0058432  -0.00690538  0.00902552
0.0078125  0.132812  0.706997  0.00049022  -0.00604782  -0.000202295  -0.00742819
0.0078125  0.148438  0.916798  -0.00485479  -0.00533531  0.00586713  -0.00944875
0.0078125  0.164062  0.987765  -0.00534271  -0.00396024  -0.00825817  0.00487807
0.0078125  0.179688  0.947367  -0.00354472  -0.00301484  -0.00383242  0.00296664
0.0078125  0.195312  1.11181  -0.00244979  -0.00346096  -0.00218263  0.00370056
0.0078125  0.210938  1.22919  -0.00359755  -0.00439302  -0.00587824  0.00551862
0.0078125  0.226562  1.0515  -0.00212156  -0.00571402  0.00241116  0.00703844
0.0078125  0.242188  0.892695  0.00721562  -0.00626014  0.00969387  0.00814003
0.0078125  0.257812  0.902247  0.00678931  -0.00597567  0.00567531  0.00918466
0.0078125  0.273438  0.715382  0.000469142  -0.00200677  -0.00314524  0.00373537
0.0078125  0.289062  2.97381  -0.00402612  0.000693866  -0.00936432  -0.00131821
0.0078125  0.304688  1.01672  0.00134781  0.00703995  0.00190649  -0.00608515
0.0078125  0.320312  3.7776  -0.00630718  0.00226682  -0.00644534  0.00560332
0.0078125  0.335938  1.32629  -0.00541601  0.000912245  0.00706352  -0.00795912
0.0078125  0.351562  1.01571  0.00136882  0.00128378  -0.00129844  -0.00187829
0.0078125  0.367188  0.943995  0.00356323  0.00552723  -0.00359864  -0.00943323
0.0078125  0.382812  0.990519  0.0040167  0.00277563  -0.00431834  0.0035078
0.0078125  0.398438  0.933747  0.00478741  -0.00169474  -0.00556264  -0.00189482
0.0078125  0.414062  0.839361  0.00600407  -0.00405289  -0.0085002  -0.00475313
0.0078125  0.429688  0.636504  0.00595842  -0.00422808  0.00830686  -0.004314
0.0078125  0.445312  0.600814  0.00554303  -0.00142463  0.00697345  -0.00143205
0.0078125  0.460938  0.555562  0.00597883  0.00216627  0.00778749  0.00208772
0.0078125  0.476562  0.689019  0.00622396  0.00396779  -0.00968998  0.00447287
0.0078125  0.492188  0.722643  0.00622805  0.00534358  -0.00933692  0.00637263
0.0078125  0.507812  0.813418  0.00559527  0.00553287  0.00810869  -0.0100049
0.0078125  0.523438  0.644255  0.00190176  0.00326661  0.00195034  -0.00379628
0.0078125  0.539062  0.560918  -0.00425227  -0.0034883  -0.00458112  0.00616246
0.0078125  0.554688  0.682098  -0.00541843  -0.00349888  0.00822608  -0.00470421
0.0078125  0.570312  0.801678  -0.00212457  0.00120413  0.00308351  0.00105558
0.0078125  0.585938  0.980064  0.000768108  0.00317476  -0.00165404  0.00336933
0.0078125  0.601562  1.13436  0.00219537  0.0040882  0.0100199  0.00553756
0.0078125  0.617188  0.874858  1.60334e-06  0.0044183  -0.00118234  -0.00742034
0.0078125  0.632812  0.556157  -0.00783303  -0.000644084  0.00818487  0.0011323
0.0078125  0.648438  0.564596  0.00167865  -0.00578849  -0.000629269  0.00837875
0.0078125  0.664062  0.786561  0.00308546  -0.00494347  -0.0054206  -0.00729657
0.0078125  0.679688  0.595863  0.002769  -0.00298276  -0.00787864  -0.00306453
0.0078125  0.695312  0.386269  0.00255006  0.00232961  -0.00429002  0.00728562
0.0078125  0.710938  0.279151  0.00150502  0.000391632  0.00148352  0.00199347
0.0078125  0.726562  0.181887  -0.00359212  -0.00337775  0.00694921  -0.00473624
0.0078125  0.742188  0.370807  -0.00515598  0.00107965  -0.0045412  0.00128709
0.0078125  0.757812  0.311042  0.00509486  0.0017834  0.00531264  0.00212841
0.0078125  0.773438  0.146724  0.00716781  0.0037674  0.00822573  0.00416193
0.0078125  0.789062  0.0912379  0.00563233  0.00819848  0.00421143  0.00926337
0.0078125  0.804688  0.265406  -0.00765972  0.0105054  -0.00872463  -0.00911178
0.0078125  0.820312  2.0309  0.00354203  -0.000353571  -0.00669433  -0.0029264
0.0078125  0.835938  0.910963  0.00223811  -5.64013e-05  0.00234403  -0.00246789
0.0078125  0.851562  0.964722  0.000888153  0.00562427  0.000772393  -0.00818432
0.0078125  0.867188  0.83152  -0.00152211  0.00291471  -0.00281037  -0.00322601
0.0078125  0.882812  0.411702  -0.00349714  -0.00147758  -0.00557779  0.00807188
0.0078125  0.898438  0.256739  -0.00358529  0.00195112  -0.00538544  0.00388917
0.0078125  0.914062  0.49975  -0.00346129  -0.00131879  -0.00530193  0.00165543
0.0078125  0.929688  0.649208  -0.00374294  0.000110774  -0.00512688  -0.000777714
0.0078125  0.945312  0.655587  -0.00494754  0.0039856  -0.00663948  -0.00764218
0.0078125  0.960938  0.893068  -0.00537403  -0.000649313  -0.00800663  0.000518503
0.0078125  0.976562  0.926635  -0.00554737  -0.00459366  0.00978894  0.00581335
0.0078125  0.992188  0.939347  -0.00512333  -0.00576211  0.00787759  -0.00941441

0.0234375  0.0078125  0.642726  -0.00158758  -0.00197576  -0.000785953  -0.00231148
0.0234375  0.0234375  0.542883  -0.0017834  0.00404305  0.00289905  0.00777391
0.0234375  0.0390625  0.518901  -0.000482715  0.00341994  0.00947691  -0.00399889
0.0234375  0.0546875  0.526822  0.000533435  -0.000880559  -0.00429912  0.00107467
0.0234375  0.0703125  0.437982  0.00153054  -0.00438089  0.0011811  0.00479913
0.0234375  0.0859375  0.44054  0.000987684  -0.00522839  0.00415691  0.00653709
0.0234375  0.101562  0.37291  -0.000729612  -0.00608026  0.00649926  0.00797821
0.0234375  0.117188  0.349889  -0.00270043  -0.0063074  0.00743715  -0.00794424
0.0234375  0.132812  0.617676  -0.00466842  -0.0041108  0.00756841  -0.00483154
0.0234375  0.148438  0.801003  -0.0051291  -0.00548874  0.00617748  -0.00677752
0.0234375  0.164062  1.06775  -0.00352288  -0.00564381  0.00536529  0.00871617
0.0234375  0.179688  1.27761  -0.00206754  -0.00459811  0.00643159  0.00531418
0.0234375  0.195312  1.48539  -0.000480409  -0.00144362  0.00498744  0.00171155
0.0234375  0.210938  1.2448  -0.00049942  0.00198268  0.000369756  -0.00231706
0.0234375  0.226562  0.888901  0.00368116  0.0028814  -0.00689929  -0.00272472
0.0234375  0.242188  0.784027  0.00535242  -0.00146548  0.0070959  0.00179221
0.0234375  0.257812  0.79293  0.00299386  -0.00532278  0.00323905  0.00952589
0.0234375  0.273438  0.972744  0.000925079  -0.00333738  0.00369256  -0.00401628
0.0234375  0.289062  1.20181  -0.00798848  -0.00591453  0.00915327  -0.00709725
0.0234375  0.304688  3.66626  -0.000536107  0.000507236  -0.00984223  -0.00462035
0.0234375  0.320312  7.18536  -0.00271776  0.000413221  0.00883367  -0.000270275
0.0234375  0.335938  1.11725  -0.0112042  -0.0021913  0.00932944  0.00502558
0.0234375  0.351562  0.907161  -0.00466546  0.00606408  0.00359247  -0.00690575
0.0234375  0.367188  1.01049  0.00179458  0.00575329  -0.00187373  0.00962321
0.0234375  0.382812  1.13447  0.00237366  0.00174197  -0.00260041  0.00244411
0.0234375  0.398438  1.06599  0.00418786  -0.00355186  -0.00478124  -0.00421761
0.0234375  0.414062  0.968508  0.00581617  -0.00548243  -0.00889255  -0.00698973
0.0234375  0.429688  0.766887  0.00632813  -0.00521948  -0.00974461  -0.00583203
0.0234375  0.445312  0.726932  0.00641646  -0.00176072  -0.00998033  -0.0018518
0.0234375  0.460938  0.673998  0.00634704  0.00311175  -0.00962341  0.00325512
0.0234375  0.476562  0.813937  0.00618606  0.00423478  -0.00905328  0.00503221
0.0234375  0.492188  0.797656  0.006226  0.00376591  -0.00970956  0.00409453
0.0234375  0.507812  0.736254  0.00584545  0.00427987  0.00737999  0.00495696
0.0234375  0.523438  0.608943  0.00276464  0.00545684  0.00285515  0.00976209
0.0234375  0.539062  0.593644  -0.00401706  0.00135298  -0.00441115  -0.00182762
0.0234375  0.554688  0.626515  -0.00474776  -0.0045582  0.00520086  0.00733603
0.0234375  0.570312  0.701095  0.00307315  -0.00504681  -0.00370382  -0.00621272
0.0234375  0.585938  0.843338  0.00558013  -0.00383488  0.00835227  -0.00445806
0.0234375  0.601562  0.76989  0.00100057  -0.00261071  0.000450252  -0.00284354
0.0234375  0.617188  0.42729  -0.0057807  0.00236266  -0.00541382  0.0049305
0.0234375  0.632812  0.385956  -0.00633593  0.00286449  -0.00939798  -0.00415182
0.0234375  0.648438  0.38325  -0.00474361  -0.00391105  0.00854094  0.00497516
0.0234375  0.664062  0.452898  -0.00299734  -0.00534784  0.00652467  -0.00923582
0.0234375  0.679688  0.317509  -0.00261581  -0.0016559  0.00622219  -0.00144741
0.0234375  0.695312  0.252422  -0.00515418  0.00240597  0.00855911  -0.00794956
0.0234375  0.710938  0.16584  -0.00658589  -0.00263149  -0.00822503  0.0064893
0.0234375  0.726562  0.162799  -0.00415029  0.00172577  -0.00464349  0.000223549
0.0234375  0.742188  0.399873  0.0037097  0.0053639  0.00264265  0.00903054
0.0234375  0.757812  0.485354  0.00034875  0.00477443  -0.00463012  0.00824697
0.0234375  0.773438  0.27529  -0.00381883  0.00392391  0.00111195  0.00353942
0.0234375  0.789062  0.227636  0.00496345  -0.00433949  0.00604413  -0.00258053
0.0234375  0.804688  0.791148  -0.00400869  -0.00564865  0.0065649  -0.00777207
0.0234375  0.820312  1.39102  0.00644552  -0.00240834  -0.00902925  0.00555205
0.0234375  0.835938  1.00493  0.00464917  0.00317396  0.00943263  -0.00457237
0.0234375  0.851562  1.02762  0.00347544  0.00626061  -0.0087013  -0.00925396
0.0234375  0.867188  0.992915  0.00299854  0.00409803  0.00887111  -0.00598969
0.0234375  0.882812  0.440696  0.00210481  0.000406248  0.00624977  0.00641393
0.0234375  0.898438  0.235572  0.00158835  0.0014025  0.0062059  0.00322165
0.0234375  0.914062  0.433229  0.00113564  -0.00145015  0.00466724  0.000871392
0.0234375  0.929688  0.613255  0.000839965  -0.000396843  0.00243374  -0.00216633
0.0234375  0.945312  0.630108  -0.000539664  0.00447951  0.000240819  -0.00979178
0.0234375  0.960938  0.769624  -0.00204455  0.00114699  -0.00200179  -0.00149165
0.0234375  0.976562  0.729702  -0.00239799  -0.00361408  -0.0025962  0.00425049
0.0234375  0.992188  0.738314  -0.00237615  -0.00549038  -0.00280274  -0.0100463

0.0390625  0.0078125  0.272174  0.00262694  0.000953266  0.000996119  0.00229344
0.0390625  0.0234375  0.19997  0.00262194  0.00370627  0.0044384  -0.00631784
0.0390625  0.0390625  0.295453  -0.00104277  -0.00226216  0.00882707  0.00246763
0.0390625  0.0546875  0.308803  -0.00230758  -0.0050817  -0.00605619  0.00690883
0.0390625  0.0703125  0.247607  0.000540495  -0.00659372  -0.000875475  0.00858945
0.0390625  0.0859375  0.247147  0.00185856  -0.00631873  0.001679  0.00826151
0.0390625  0.101562  0.27663  0.00219868  -0.00592435  0.00210335  0.00821058
0.0390625  0.117188  0.269676  0.00095612  -0.00689578  0.000292761  -0.0100115
