a      av(rho_e)     max(rho_e)  min(rho_e)   av(delta_e)    max(delta_e)  min(delta_e)
0.04   9.5880212e+10  11.100889   10.843817  -1.0485641e-15  0.31570828    -0.27207334
0.0404 9.5880215e+10  11.177742   10.731695  -1.5722795e-16  0.57040953    -0.43770210
0.0442 9.5880215e+10  11.825998   5.5338489   1.4253599e-15  5.9866440     -0.99999643
0.11   9.5880215e+10  12.058373   4.7331982   1.6717720e-16  10.930087     -0.99999944
0.18   9.5880215e+10  12.060679   5.7304089  -2.5885327e-16  10.993621     -0.99999439
0.29   9.5880215e+10  12.217231   5.8687138   1.4886096e-16  16.198942     -0.99999229
0.49   9.5880215e+10  12.099061   4.9660311   4.6403853e-16  12.101819     -0.99999904
0.81   9.5880215e+10  12.125749   4.7301521   1.2018381e-16  12.932208     -0.99999944
0.89   9.5880215e+10  12.134208   4.3828787   1.3677210e-16  13.206231     -0.99999975
1.09   9.5880215e+10  12.140241   5.9249512   1.4327732e-15  13.404942     -0.99999123
